Measure,2009,2010,2011,2012,2013,Change from ’09 to ‘10 ,Change from ‘10 to ‘11 ,Change from ‘11 to ‘12 ,Change from‘12 to ‘13 
B15. I receive regular feedback on my performance ,72%,69%,70%,72%,72%,-3,1,2,0
B16. The feedback I receive helps me to improve my performance ,71%,69%,70%,72%,72%,-2,1,2,0
B17. I think that my performance is evaluated fairly ,72%,71%,71%,71%,72%,-1,0,0,1
B18. Poor performance is dealt with effectively in my team ,65%,67%,69%,71%,71%,2,2,2,0
B19. The people in my team can be relied upon to help when things get difficult in my job ,93%,94%,95%,94%,95%,1,1,-1,1
B20. The people in my team work together to find ways to improve the service we provide ,92%,92%,93%,93%,94%,0,1,0,1
B21. The people in my team are encouraged to come up with new and better ways of doing things ,90%,92%,92%,93%,93%,2,0,1,0
B22. I am able to access the right learning and development opportunities when I need to ,79%,71%,73%,75%,79%,-8,2,2,4
B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance ,68%,64%,63%,64%,69%,-4,-1,1,5
B24. There are opportunities for me to develop my career in [my organisation] ,60%,52%,55%,58%,60%,-8,3,3,2
B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career ,67%,65%,64%,67%,67%,-2,-1,3,0
B26. I am treated fairly at work ,89%,88%,88%,89%,89%,-1,0,1,0
B27. I am treated with respect by the people I work with ,94%,93%,93%,93%,94%,-1,0,0,1
B28. I feel valued for the work I do ,82%,79%,81%,81%,81%,-3,2,0,0
"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)  ",82%,83%,83%,84%,84%,1,0,1,0
"B30. In my job, I am clear what is expected of me ",92%,91%,92%,93%,92%,-1,1,1,-1
B31. I get the information I need to do my job well ,81%,83%,84%,84%,82%,2,1,0,-2
B32. I have clear work objectives ,89%,88%,89%,90%,89%,-1,1,1,-1
B33. I have the skills I need to do my job effectively ,95%,95%,96%,96%,95%,0,1,0,-1
B34. I have the tools I need to do my job effectively,79%,78%,78%,75%,74%,-1,0,-3,-1
B35. I have an acceptable workload,60%,61%,59%,59%,58%,1,-2,0,-1
B36. I achieve a good balance between my work life and my private life,56%,56%,54%,57%,56%,0,-2,3,-1
B37. I feel that my pay adequately reflects my performance ,49%,48%,38%,34%,36%,-1,-10,-4,2
B38. I am satisfied with the total benefits package ,55%,49%,39%,36%,38%,-6,-10,-3,2
B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable ,39%,36%,29%,25%,29%,-3,-7,-4,4
B40. I feel that [my organisation] as a whole is managed well ,62%,61%,60%,65%,66%,-1,-1,5,1
B41. [Senior managers] in [my organisation] are sufficiently visible ,69%,72%,72%,76%,77%,3,0,4,1
B42. I believe the actions of [senior managers] are consistent with [my organisation's] values ,66%,70%,68%,71%,72%,4,-2,3,1
B43. I believe that [the board has] a clear vision for the future of [my organisation] ,55%,51%,56%,61%,61%,-4,5,5,0
"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] ",66%,66%,66%,70%,71%,0,0,4,1
B45. I feel that change is managed well in [my organisation] ,48%,45%,48%,50%,52%,-3,3,2,2
B46. When changes are made in [my organisation] they are usually for the better ,52%,46%,47%,49%,52%,-6,1,2,3
B47. [My organisation] keeps me informed about matters that affect me ,78%,78%,78%,81%,80%,0,0,3,-1
B48. I have the opportunity to contribute my views before decisions are made that affect me ,65%,65%,67%,69%,70%,0,2,2,1
B49. I think it is safe to challenge the way things are done in [my organisation] ,68%,67%,66%,70%,70%,-1,-1,4,0
B50. I am proud when I tell others I am part of [my organisation] ,73%,74%,74%,77%,77%,1,0,3,0
B51. I would recommend [my organisation] as a great place to work ,65%,60%,62%,65%,66%,-5,2,3,1
B52. I feel a strong personal attachment to [my organisation] ,67%,69%,68%,69%,68%,2,-1,1,-1
B53. [My organisation] inspires me to do the best in my job ,64%,63%,62%,65%,65%,-1,-1,3,0
B54. [My organisation] motivates me to help it achieve its objectives,65%,62%,62%,64%,64%,-3,0,2,0
B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey ,74%,73%,74%,78%,77%,-1,1,4,-1
B56. I believe that managers where I work will take action on the results from this survey ,80%,82%,83%,85%,85%,2,1,2,0
"B57. Where I work, I think effective action has been taken on the results of the last survey",n/a,n/a,66%,70%,72%,n/a,n/a,4,2
B58. I am trusted to carry out my job effectively ,n/a ,n/a ,n/a ,91%,93%,n/a ,n/a ,n/a ,2
"B59. I believe I would be supported if I try a new idea, even if it may not work ",n/a ,n/a ,n/a ,80%,84%,n/a ,n/a ,n/a ,4
"B60. My performance is evaluated based on whether I get things done, rather than solely follow process ",n/a ,n/a ,n/a ,81%,84%,n/a ,n/a ,n/a ,3
"B61. When I talk about [my organisation] I say ""we"" rather than ""they” ",n/a ,n/a ,n/a ,91%,86%,n/a ,n/a ,n/a ,-5
B62. I have some really good friendships at work ,n/a ,n/a ,n/a ,74%,79%,n/a ,n/a ,n/a ,5
C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to leave [my organisation] as soon as possible ,4%,5%,6%,5%,5%,1,1,-1,0
C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to leave [my organisation] within the next 12 months ,12%,13%,12%,15%,14%,1,-1,3,-1
C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to stay working for [my organisation] for at least the next year ,52%,51%,48%,46%,46%,-1,-3,-2,0
C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to stay working for [my organisation] for at least the next three years ,32%,31%,34%,34%,35%,-1,3,0,1
D01. Are you aware of the Civil Service Code? ,93%,96%,95%,97%,96%,3,-1,2,-1
D02. Are you aware of how to raise a concern under the Civil Service Code? ,72%,81%,83%,85%,83%,9,2,2,-2
D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? ,81%,84%,86%,88%,86%,3,2,2,-2
"W01. Overall, how satisfied are you with your life nowadays? (% 7-10) (0=not at all satisfied, 10=completely satisfied) ",n/a ,n/a ,n/a ,75%,75%,n/a ,n/a ,n/a ,0
"W02. Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) (0=not at all worthwhile, 10=completely worthwhile) ",n/a ,n/a ,n/a ,83%,84%,n/a ,n/a ,n/a ,1
"W03. Overall, how happy did you feel yesterday? (% 7-10) (0=not at all happy, 10=completely happy) ",n/a ,n/a ,n/a ,70%,72%,n/a ,n/a ,n/a ,2
"W04. Overall, how anxious did you feel yesterday? (% 0-3) (0=not at all happy, 10=completely anxious) ",n/a ,n/a ,n/a ,57%,57%,n/a ,n/a ,n/a ,0
E01. During the past 12 months have you personally experienced discrimination at work? ,5%,6%,5%,6%,5%,1,-1,1,-1
E03. During the past 12 months have you personally experienced bullying or harassment at work? ,6%,6%,6%,5%,5%,0,0,-1,0
