" This table shows the overall results to the Civil Service People Survey 2014 by demographic groups - covering job and personal characteristics. These results are different to the benchmark publication in that they are affected by the relative number of responses from different participating organisations (i.e. responses from DWP, HMRC, MOD and NOMS account for 50% of these results).  The Civil Service benchmark is the median score of all participating organisations and therefore is not influenced by the relative number of respondents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civil Service People Survey 2014: results by demographic group1,,Grade,,,,,,Country usually work in [H01],,,,,,Region of England usually work in [H1A],,,,,,,,,,Time in current job [H02],,,,,,Time in organisation (or predecessor) [H03],,,,,,Time in Civil Service [H04],,,,,,Manager status [H05],,,Working pattern [H06],,,,Employment status [H07],,,,,,,Occupation of main role - major groups [H08],,,,,,Occupation of main role [H08],,,,,,,,,,,Occupation of main role (cont.) [H08],,,,,,,,,,,,,,,,,,,,,,,Occupation of main role (cont.) [H08],,,,,,Development scheme [H09],,,,Sex [J01],,,Age [J02],,,,,Ethnicity - binary [J03],,,Ethnicity - major group [J03],,,,,,Ethnicity - detailed [J03],,,,,,,,,,,,,,,,,,,Long-term health [J04],,,Impact of long-term illness/condition [J04],,,,Long-term health [J04/J4A],,,Caring status [J05],,,Childcare status [J06],,,Sexual identity [J07],,,,Religious identity [J08],,,,,,,
,,"AO/AA  (n=71,169)","EO  (n=71,898)","SEO/HEO  (n=72,428)","G6/G7  (n=30,280)","SCS  (n=4,532)",,"England  (n=214,139)","Scotland  (n=24,560)","Wales  (n=18,964)","Northern Ireland  (n=1,648)","Overseas  (n=12,983)",,"East Midlands  (n=12,854)","East of England  (n=11,074)","London  (n=53,033)","North East England  (n=18,164)","North West England  (n=27,646)","South East England  (n=25,934)","South West England  (n=29,949)","West Midlands  (n=16,461)","Yorkshire and the Humber  (n=17,139)",,"Less than 1 year  (n=62,600)","1 year but less than 3 years  (n=69,831)","3 years but less than 5 years  (n=31,332)","5 years but less than 10 years  (n=52,145)","10 years or more  (n=53,365)",,"Less than 1 year  (n=18,472)","1 year but less than 3 years  (n=22,231)","3 years but less than 5 years  (n=14,133)","5 years but less than 10 years  (n=47,770)","10 years or more  (n=149,617)",,"Less than 1 year  (n=16,281)","1 year but less than 3 years  (n=17,717)","3 years but less than 5 years  (n=10,605)","5 years but less than 10 years  (n=43,165)","10 years or more  (n=153,737)",,"Non-manager  (n=185,696)","Manager  (n=85,527)",,"Full-time  (n=220,586)","Part-time  (n=50,140)",Job-share  (n=798),,"Permanent contract  (n=254,546)","Fixed term contract  (n=8,972)","Loaned from other CS organisation  (n=2,712)","Temporary/agency worker  (n=2,859)","Contractor/freelancer  (n=1,332)","Secondee from outside CS  (n=1,464)",,"Operations  (n=156,858)","Corporate Services  (n=47,851)","Policy  (n=17,127)","Specialist services  (n=30,013)","Other  (n=16,410)",,"Operations - Administrative  (n=21,709)","Operations - Casework  (n=19,534)","Operations - Debt Management and Banking  (n=3,060)","Operations - Face to Face  (n=28,328)","Operations - General management  (n=10,098)","Operations - Inspection  (n=2,021)","Operations - Investigation  (n=4,830)","Operations - Logistics  (n=3,658)","Operations - Offender management  (n=1,361)","Operations - Processing  (n=22,500)","Operations - Tax professional  (n=4,379)","Operations - Transport  (n=1,890)","Operations - Voice  (n=11,816)","Operations - Other operations  (n=21,674)","CS - Commercial  (n=4,036)","CS - Estates  (n=3,149)","CS - Finance  (n=7,690)","CS - Human resources  (n=6,431)",CS - Internal audit  (n=678),"CS - Information technology  (n=7,188)","CS - Knowledge & information management  (n=1,770)","CS - Private Office  (n=1,699)","CS - Programme and project management  (n=9,652)","CS - Security  (n=3,837)","CS - Strategy  (n=1,721)","Policy  (n=17,127)",Specialist - Animal health  (n=280),"Specialist - Cartography  (n=1,285)","Specialist - Comms  (n=3,626)","Specialist - Economics  (n=1,229)","Specialist - Engineering  (n=5,151)","Specialist - Health  (n=2,739)","Specialist - Legal  (n=6,689)",Specialist - Operational research  (n=991),"Specialist - Scientist  (n=4,088)",Specialist - Social research  (n=760),"Specialist - Statistics  (n=1,914)","Specialist - Other  (n=1,261)","Other  (n=16,410)",,"Not on a development scheme (n=257,718)","Civil Service Fast Stream schemes (n=1,800)","Other development scheme (n=7,167)",,"Male  (n=116,954)","Female  (n=124,778)",,"Aged 16-34  (n=53,431)","Aged 35-44  (n=60,949)","Aged 45-54  (n=79,870)","Aged 55+  (n=41,210)",,"White  (n=220,741)","BME  (n=22,895)",,"White  (n=220,741)","Mixed  (n=3,533)","Asian  (n=10,942)","Black  (n=6,308)","Other ethnic group  (n=2,112)",,"White- British  (n=211,717)","White - Irish  (n=1,977)",White - Gypsy/Irish Traveller  (n=429),"White - any other white background  (n=6,618)",Mixed - White and Black Caribbean  (n=688),Mixed - White and Black African  (n=373),"Mixed - White and Asian  (n=1,061)","Mixed - any other mixed background  (n=1,411)","Asian - Indian  (n=5,955)","Asain - Pakistani  (n=1,971)",Asian - Bangladeshi  (n=891),Asian - Chinese  (n=718),"Asian - any other Asian background  (n=2,125)","Black - African  (n=3,454)","Black - Caribbean  (n=2,379)",Black - any other Black background  (n=475),Other - Arab  (n=667),Other - any other background  (n=727),,"No long-term limiting illness or condition (n=211,772)","Long-term limiting illness or condition (n=37,098)",,"Illness/condition has no impact on daily activity/work (10,154)","Illness/condition has a little impact on daily activity/work (n=20,783)","Illness/condition has a lot of impact on daily activity/work (n=6,024)",,"No long-term limiting illness/condition or an illness/condition has no impact on daily activities/work (n=221,926)","Long-term limiting illness or condition which has an impact on daily activities/work (n=26,807)",,"Not a carer (n=196,189)","Carer for others (n=56,213)",,"No childcare responsibilities  (n=164,854)","Has childcare responsibilities  (n=87,391)",,"Heterosexual/straight  (n=225,931)","Gay, lesbian or bisexual  (n=7,856)","Other  (n=1,446)",,"No religion (n=88,124)","Christian (n=130,522)","Buddhist (n=1,298)","Hindu (n=3,434)",Jewish (n=844),"Muslim (n=5,470)","Sikh (n=1,461)","Any other religion (n=4,007)"
Leadership and managing change ,,34%,33%,38%,45%,69%,,35%,38%,40%,34%,47%,,33%,31%,41%,35%,35%,31%,34%,35%,35%,,44%,39%,36%,32%,29%,,51%,44%,39%,35%,34%,,46%,44%,40%,37%,34%,,33%,44%,,37%,35%,42%,,36%,47%,47%,50%,43%,44%,,35%,41%,45%,36%,28%,,37%,30%,29%,38%,47%,31%,24%,32%,32%,34%,23%,19%,37%,38%,37%,38%,42%,43%,38%,36%,35%,55%,41%,40%,53%,45%,21%,34%,44%,51%,28%,33%,36%,41%,32%,41%,44%,42%,28%,,36%,54%,51%,,36%,41%,,43%,40%,37%,34%,,37%,45%,,37%,41%,46%,45%,45%,,37%,40%,17%,41%,42%,45%,43%,38%,44%,48%,48%,46%,49%,51%,38%,39%,56%,35%,,39%,30%,,36%,29%,24%,,39%,28%,,38%,35%,,37%,38%,,38%,38%,29%,,37%,39%,36%,46%,36%,49%,43%,31%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My work ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01. I am interested in my work ,,80%,87%,91%,94%,98%,,87%,87%,87%,88%,92%,,86%,86%,89%,84%,86%,87%,88%,86%,86%,,90%,89%,87%,85%,84%,,91%,89%,87%,85%,87%,,92%,89%,88%,86%,87%,,85%,93%,,88%,86%,89%,,87%,90%,93%,88%,94%,93%,,85%,90%,93%,92%,86%,,84%,83%,76%,90%,92%,91%,89%,86%,86%,79%,89%,87%,76%,89%,90%,89%,88%,91%,92%,88%,88%,93%,91%,89%,92%,93%,91%,93%,92%,94%,88%,94%,93%,90%,93%,93%,92%,89%,86%,,87%,92%,93%,,87%,90%,,86%,89%,89%,90%,,88%,88%,,88%,87%,89%,89%,84%,,88%,89%,68%,90%,87%,89%,87%,87%,88%,88%,89%,81%,91%,92%,87%,86%,89%,84%,,89%,84%,,89%,84%,75%,,89%,82%,,88%,87%,,88%,89%,,88%,85%,77%,,86%,90%,83%,89%,84%,89%,87%,82%
B02. I am sufficiently challenged by my work ,,68%,78%,84%,89%,94%,,78%,77%,78%,82%,81%,,78%,78%,79%,77%,78%,77%,79%,77%,78%,,81%,80%,78%,76%,77%,,77%,76%,76%,75%,81%,,77%,75%,76%,75%,80%,,74%,87%,,78%,78%,80%,,78%,75%,83%,68%,82%,84%,,77%,81%,84%,83%,77%,,70%,78%,72%,83%,86%,83%,77%,77%,76%,71%,87%,63%,65%,80%,82%,78%,79%,82%,83%,80%,79%,80%,82%,81%,83%,84%,80%,85%,81%,87%,77%,86%,86%,80%,82%,85%,84%,80%,77%,,78%,83%,83%,,79%,80%,,73%,80%,82%,82%,,80%,78%,,80%,76%,80%,75%,76%,,80%,81%,60%,79%,74%,78%,77%,75%,79%,78%,77%,75%,83%,76%,75%,70%,80%,73%,,80%,75%,,79%,75%,66%,,80%,73%,,79%,79%,,79%,80%,,80%,76%,65%,,77%,82%,76%,81%,75%,78%,77%,70%
B03. My work gives me a sense of personal accomplishment ,,64%,72%,77%,83%,93%,,72%,71%,73%,74%,79%,,72%,71%,75%,68%,71%,71%,72%,72%,71%,,76%,74%,72%,70%,69%,,77%,73%,72%,70%,73%,,77%,74%,72%,70%,73%,,69%,81%,,73%,71%,77%,,72%,76%,80%,73%,82%,81%,,70%,75%,79%,78%,70%,,69%,66%,60%,78%,79%,77%,72%,72%,67%,63%,75%,66%,58%,75%,75%,75%,73%,78%,76%,73%,74%,82%,75%,75%,78%,79%,71%,81%,78%,81%,71%,83%,81%,77%,78%,81%,79%,77%,70%,,72%,79%,81%,,72%,76%,,69%,74%,76%,77%,,74%,76%,,74%,72%,77%,77%,72%,,74%,77%,52%,74%,71%,78%,73%,71%,76%,77%,79%,71%,79%,80%,72%,73%,75%,70%,,75%,68%,,75%,67%,58%,,75%,65%,,74%,73%,,73%,74%,,74%,72%,61%,,71%,77%,70%,77%,71%,77%,74%,64%
B04. I feel involved in the decisions that affect my work ,,41%,48%,59%,69%,87%,,51%,50%,52%,52%,62%,,47%,47%,57%,46%,49%,49%,53%,49%,50%,,59%,56%,52%,46%,43%,,57%,53%,52%,48%,52%,,53%,52%,51%,49%,52%,,44%,68%,,53%,46%,54%,,51%,54%,65%,49%,61%,67%,,48%,59%,66%,55%,47%,,50%,41%,43%,50%,69%,41%,47%,56%,39%,43%,45%,25%,33%,56%,57%,57%,58%,62%,60%,54%,56%,70%,62%,56%,71%,66%,39%,56%,60%,67%,53%,54%,50%,59%,54%,62%,67%,58%,47%,,51%,62%,63%,,54%,54%,,52%,56%,56%,51%,,53%,56%,,53%,52%,59%,54%,54%,,53%,55%,34%,53%,52%,54%,55%,50%,58%,56%,60%,56%,63%,56%,52%,52%,60%,48%,,55%,44%,,52%,43%,33%,,55%,40%,,54%,49%,,52%,54%,,54%,52%,41%,,52%,55%,48%,61%,49%,58%,56%,42%
B05. I have a choice in deciding how I do my work,,51%,61%,75%,82%,92%,,65%,63%,64%,62%,71%,,61%,62%,72%,56%,59%,64%,69%,62%,63%,,72%,70%,66%,59%,55%,,71%,69%,67%,62%,65%,,68%,68%,66%,62%,65%,,58%,79%,,66%,59%,69%,,64%,68%,79%,62%,78%,81%,,59%,76%,80%,72%,61%,,67%,53%,53%,59%,80%,58%,63%,68%,49%,53%,65%,29%,33%,69%,74%,73%,76%,78%,76%,75%,76%,80%,80%,66%,84%,80%,55%,78%,75%,85%,71%,70%,61%,80%,75%,82%,83%,76%,61%,,65%,79%,76%,,66%,67%,,66%,69%,67%,64%,,67%,64%,,67%,65%,65%,63%,63%,,67%,67%,44%,69%,64%,64%,69%,64%,65%,62%,69%,66%,68%,63%,63%,60%,66%,58%,,68%,57%,,66%,56%,46%,,68%,54%,,67%,61%,,66%,67%,,67%,66%,52%,,67%,67%,61%,66%,66%,64%,62%,57%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisational objectives and purpose ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B06. I have a clear understanding of [my organisation's] purpose 3,,78%,80%,84%,88%,93%,,81%,84%,84%,81%,84%,,78%,78%,84%,81%,81%,78%,81%,80%,80%,,86%,84%,82%,79%,75%,,85%,84%,83%,80%,81%,,84%,83%,83%,81%,82%,,79%,87%,,81%,82%,83%,,81%,84%,83%,81%,81%,84%,,81%,85%,88%,80%,73%,,80%,79%,80%,84%,89%,78%,74%,75%,78%,79%,80%,61%,81%,83%,86%,78%,86%,87%,89%,81%,81%,93%,88%,79%,92%,88%,62%,82%,86%,89%,73%,80%,83%,84%,73%,86%,85%,82%,73%,,81%,87%,90%,,80%,85%,,83%,83%,83%,81%,,83%,83%,,83%,82%,84%,84%,78%,,83%,82%,59%,83%,83%,85%,82%,81%,83%,84%,84%,80%,85%,87%,82%,79%,79%,77%,,83%,78%,,82%,79%,71%,,83%,77%,,83%,82%,,82%,83%,,83%,81%,68%,,81%,84%,77%,83%,77%,83%,83%,75%
B07. I have a clear understanding of [my organisation's] objectives ,,75%,76%,79%,84%,92%,,76%,81%,79%,77%,80%,,74%,73%,79%,78%,78%,73%,74%,76%,76%,,81%,80%,78%,75%,71%,,78%,79%,78%,76%,77%,,77%,77%,78%,77%,78%,,74%,83%,,77%,78%,80%,,77%,77%,74%,74%,74%,75%,,78%,80%,84%,74%,68%,,76%,75%,77%,82%,86%,72%,68%,69%,76%,76%,76%,56%,79%,80%,80%,74%,81%,81%,84%,74%,73%,87%,82%,75%,89%,84%,51%,74%,81%,82%,64%,76%,78%,76%,65%,80%,78%,77%,68%,,77%,79%,86%,,74%,82%,,77%,79%,79%,78%,,78%,80%,,78%,78%,81%,82%,75%,,78%,78%,56%,78%,79%,81%,78%,76%,81%,80%,80%,77%,83%,85%,78%,77%,76%,73%,,79%,74%,,78%,75%,68%,,79%,73%,,78%,78%,,78%,79%,,79%,76%,63%,,76%,80%,73%,82%,72%,80%,80%,71%
B08. I understand how my work contributes to [my organisation's] objectives ,,77%,79%,82%,86%,94%,,79%,82%,82%,82%,84%,,77%,76%,82%,80%,81%,77%,77%,79%,79%,,84%,82%,81%,77%,75%,,82%,81%,80%,78%,80%,,81%,80%,80%,79%,81%,,77%,86%,,80%,81%,82%,,80%,82%,80%,82%,82%,80%,,80%,82%,86%,78%,72%,,78%,78%,80%,84%,87%,76%,73%,74%,74%,79%,82%,62%,80%,82%,83%,79%,83%,84%,87%,78%,77%,89%,84%,79%,90%,86%,63%,81%,84%,85%,71%,81%,81%,79%,70%,83%,82%,80%,72%,,80%,82%,87%,,78%,84%,,80%,82%,82%,81%,,81%,84%,,81%,80%,85%,86%,79%,,81%,81%,56%,81%,82%,84%,80%,78%,85%,85%,86%,82%,87%,89%,83%,81%,79%,75%,,82%,77%,,81%,77%,69%,,82%,75%,,81%,81%,,81%,82%,,82%,79%,66%,,79%,83%,76%,85%,75%,84%,84%,73%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My manager ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09. My manager motivates me to be more effective in my job ,,66%,64%,67%,69%,83%,,65%,66%,69%,69%,70%,,63%,61%,68%,66%,66%,62%,64%,64%,65%,,73%,68%,64%,62%,59%,,74%,70%,66%,65%,65%,,72%,69%,66%,66%,65%,,63%,70%,,65%,67%,65%,,65%,72%,71%,69%,68%,69%,,66%,67%,72%,65%,58%,,66%,63%,69%,68%,72%,62%,58%,61%,49%,65%,60%,51%,69%,67%,67%,64%,68%,68%,67%,64%,66%,75%,68%,64%,74%,72%,50%,64%,69%,76%,59%,66%,65%,66%,59%,72%,71%,70%,58%,,65%,78%,76%,,65%,70%,,71%,69%,67%,65%,,67%,71%,,67%,68%,72%,71%,68%,,67%,71%,47%,67%,69%,72%,69%,66%,70%,73%,75%,70%,72%,75%,67%,68%,73%,61%,,68%,62%,,66%,61%,55%,,68%,60%,,67%,65%,,66%,68%,,68%,67%,55%,,66%,68%,64%,71%,61%,73%,70%,61%
B10. My manager is considerate of my life outside work ,,74%,74%,81%,81%,84%,,76%,77%,80%,78%,73%,,73%,73%,79%,75%,75%,75%,79%,74%,76%,,81%,80%,77%,74%,70%,,82%,80%,77%,76%,76%,,80%,80%,78%,78%,76%,,75%,80%,,76%,79%,76%,,76%,79%,82%,74%,78%,81%,,75%,80%,83%,79%,69%,,77%,75%,77%,74%,81%,75%,76%,71%,58%,74%,78%,63%,75%,77%,83%,73%,81%,81%,83%,81%,83%,83%,83%,70%,85%,83%,69%,79%,83%,87%,75%,74%,77%,86%,80%,88%,87%,83%,69%,,76%,87%,84%,,76%,79%,,81%,80%,77%,75%,,78%,74%,,78%,76%,74%,72%,72%,,78%,78%,61%,77%,74%,71%,79%,77%,74%,74%,73%,73%,73%,73%,71%,71%,74%,69%,,78%,73%,,78%,73%,64%,,78%,71%,,78%,75%,,76%,80%,,78%,76%,63%,,79%,78%,72%,72%,78%,72%,76%,73%
B11. My manager is open to my ideas ,,73%,74%,81%,84%,91%,,77%,76%,79%,78%,78%,,74%,74%,79%,75%,76%,75%,78%,74%,76%,,82%,80%,77%,74%,70%,,81%,80%,77%,76%,76%,,79%,80%,77%,77%,76%,,74%,84%,,77%,76%,77%,,76%,79%,83%,73%,81%,85%,,75%,81%,85%,79%,70%,,76%,72%,77%,75%,84%,73%,75%,73%,59%,73%,76%,61%,73%,78%,81%,75%,82%,82%,82%,80%,82%,86%,84%,72%,87%,85%,66%,79%,84%,89%,75%,77%,75%,84%,77%,87%,87%,82%,70%,,77%,87%,84%,,77%,80%,,81%,81%,78%,75%,,78%,75%,,78%,76%,76%,74%,75%,,78%,79%,59%,78%,76%,75%,78%,75%,76%,76%,77%,80%,76%,75%,74%,72%,75%,70%,,79%,71%,,77%,71%,62%,,79%,69%,,79%,74%,,77%,79%,,78%,77%,65%,,79%,79%,73%,76%,74%,76%,77%,71%
B12. My manager helps me to understand how I contribute to [my organisation's] objectives ,,62%,60%,62%,66%,82%,,61%,62%,67%,65%,64%,,60%,57%,62%,65%,65%,57%,59%,61%,61%,,67%,64%,61%,59%,56%,,68%,63%,60%,60%,62%,,65%,62%,60%,61%,62%,,59%,67%,,61%,66%,63%,,62%,65%,63%,62%,61%,65%,,63%,62%,66%,58%,52%,,61%,60%,67%,68%,71%,59%,50%,54%,45%,63%,58%,46%,68%,65%,61%,59%,62%,63%,63%,59%,59%,71%,64%,59%,73%,66%,46%,62%,65%,63%,48%,59%,61%,60%,50%,64%,62%,65%,52%,,61%,67%,72%,,60%,67%,,64%,65%,64%,62%,,63%,67%,,63%,63%,68%,68%,63%,,63%,64%,41%,62%,64%,65%,64%,61%,67%,67%,70%,65%,70%,71%,65%,65%,69%,55%,,64%,58%,,62%,58%,50%,,64%,56%,,63%,62%,,62%,64%,,64%,61%,50%,,61%,65%,61%,68%,56%,68%,67%,56%
"B13. Overall, I have confidence in the decisions made by my manager ",,67%,65%,73%,76%,87%,,69%,69%,72%,73%,70%,,66%,65%,72%,67%,69%,66%,70%,66%,68%,,77%,72%,68%,64%,61%,,80%,74%,70%,68%,68%,,78%,74%,70%,69%,68%,,66%,75%,,69%,69%,69%,,69%,76%,77%,76%,75%,79%,,68%,72%,78%,70%,62%,,68%,65%,70%,68%,76%,66%,64%,66%,53%,66%,66%,55%,70%,70%,74%,67%,74%,73%,72%,69%,71%,82%,74%,66%,80%,78%,57%,71%,74%,82%,65%,69%,70%,73%,67%,76%,79%,74%,62%,,69%,83%,79%,,70%,72%,,74%,73%,70%,68%,,71%,70%,,71%,70%,71%,68%,68%,,71%,73%,51%,71%,69%,71%,73%,68%,69%,71%,74%,71%,72%,69%,67%,66%,71%,62%,,72%,64%,,70%,63%,55%,,71%,61%,,71%,67%,,70%,71%,,71%,69%,57%,,71%,72%,65%,70%,68%,71%,69%,63%
B14. My manager recognises when I have done my job well ,,76%,74%,77%,78%,87%,,75%,76%,79%,79%,79%,,73%,72%,78%,76%,76%,73%,75%,74%,75%,,80%,78%,75%,73%,70%,,80%,79%,76%,75%,75%,,79%,79%,76%,75%,75%,,74%,79%,,75%,77%,75%,,75%,80%,80%,75%,78%,79%,,76%,77%,82%,75%,69%,,76%,73%,79%,76%,80%,71%,72%,73%,59%,75%,74%,65%,79%,77%,77%,74%,78%,78%,79%,75%,79%,83%,78%,72%,82%,82%,66%,77%,81%,85%,69%,73%,74%,80%,72%,82%,82%,79%,69%,,75%,86%,83%,,76%,79%,,79%,79%,77%,76%,,77%,78%,,77%,76%,77%,79%,77%,,77%,79%,60%,77%,75%,78%,77%,75%,77%,76%,79%,81%,79%,81%,77%,76%,79%,71%,,78%,71%,,76%,71%,63%,,78%,69%,,77%,74%,,77%,77%,,77%,76%,67%,,77%,78%,74%,77%,74%,77%,78%,70%
B15. I receive regular feedback on my performance ,,69%,65%,64%,63%,74%,,64%,67%,70%,67%,66%,,64%,61%,64%,70%,69%,61%,62%,64%,65%,,67%,66%,65%,64%,61%,,67%,65%,63%,64%,65%,,65%,65%,62%,65%,66%,,65%,66%,,64%,70%,62%,,65%,65%,62%,58%,58%,62%,,68%,63%,66%,60%,55%,,64%,67%,75%,70%,68%,60%,53%,56%,39%,70%,68%,55%,78%,68%,62%,60%,65%,65%,68%,61%,63%,66%,64%,60%,69%,66%,58%,62%,68%,64%,50%,59%,62%,63%,56%,69%,68%,66%,55%,,65%,68%,73%,,63%,70%,,66%,67%,66%,66%,,66%,68%,,66%,65%,69%,70%,65%,,66%,67%,49%,64%,64%,71%,65%,63%,69%,69%,68%,67%,69%,74%,65%,63%,68%,60%,,66%,64%,,66%,63%,59%,,66%,62%,,66%,66%,,66%,66%,,66%,64%,59%,,65%,68%,63%,69%,56%,69%,68%,61%
B16. The feedback I receive helps me to improve my performance ,,64%,59%,59%,60%,76%,,59%,60%,65%,61%,67%,,58%,55%,61%,62%,62%,56%,58%,59%,59%,,66%,63%,59%,57%,54%,,68%,65%,61%,60%,59%,,66%,65%,62%,61%,59%,,59%,63%,,60%,63%,60%,,60%,67%,63%,61%,60%,61%,,61%,60%,64%,58%,51%,,62%,58%,66%,64%,65%,52%,49%,54%,39%,62%,53%,49%,70%,62%,60%,58%,60%,62%,61%,56%,59%,68%,61%,57%,68%,64%,49%,58%,64%,68%,49%,59%,58%,60%,52%,64%,64%,65%,51%,,60%,70%,72%,,58%,66%,,66%,64%,61%,59%,,61%,69%,,61%,63%,70%,71%,66%,,61%,63%,41%,62%,63%,72%,63%,61%,70%,69%,72%,70%,72%,76%,66%,65%,70%,59%,,62%,56%,,61%,56%,50%,,62%,55%,,62%,60%,,61%,63%,,62%,61%,50%,,60%,63%,62%,71%,53%,70%,69%,56%
B17. I think that my performance is evaluated fairly ,,61%,58%,61%,63%,75%,,59%,63%,65%,62%,64%,,58%,57%,61%,60%,60%,57%,60%,58%,58%,,65%,63%,59%,57%,54%,,67%,64%,61%,59%,59%,,67%,65%,61%,60%,59%,,58%,65%,,60%,62%,60%,,60%,66%,63%,61%,62%,65%,,60%,61%,65%,60%,53%,,62%,57%,64%,62%,67%,53%,52%,57%,43%,60%,54%,47%,64%,62%,61%,59%,62%,62%,62%,58%,62%,69%,61%,57%,66%,65%,48%,61%,64%,69%,53%,62%,60%,60%,58%,66%,67%,67%,53%,,60%,70%,71%,,60%,65%,,66%,64%,61%,61%,,62%,62%,,62%,60%,63%,63%,60%,,62%,63%,39%,63%,60%,66%,61%,58%,62%,63%,66%,63%,66%,66%,60%,56%,62%,55%,,63%,54%,,61%,53%,44%,,63%,51%,,63%,58%,,62%,61%,,62%,60%,49%,,61%,63%,56%,64%,54%,63%,62%,53%
B18. Poor performance is dealt with effectively in my team ,,41%,39%,40%,46%,74%,,40%,41%,46%,47%,51%,,40%,39%,41%,43%,43%,38%,38%,42%,39%,,43%,43%,42%,39%,38%,,42%,39%,39%,39%,42%,,42%,39%,38%,39%,42%,,36%,53%,,41%,42%,45%,,41%,44%,39%,44%,41%,37%,,43%,41%,42%,36%,34%,,39%,37%,43%,44%,58%,30%,35%,44%,23%,43%,36%,34%,54%,45%,38%,45%,41%,45%,36%,38%,39%,51%,37%,45%,49%,42%,33%,39%,40%,37%,34%,42%,34%,36%,31%,38%,40%,43%,34%,,41%,35%,48%,,42%,44%,,41%,44%,44%,43%,,42%,49%,,42%,43%,50%,50%,47%,,42%,42%,30%,42%,43%,48%,43%,42%,48%,53%,57%,45%,52%,56%,44%,46%,57%,41%,,43%,38%,,42%,37%,34%,,43%,36%,,42%,42%,,41%,44%,,43%,40%,34%,,39%,45%,42%,50%,35%,55%,47%,38%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My team ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
