"uid_txt","regex","text","n","year"
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_yes. did you report your experience of bullying and harassment? (% selecting 'yes') [note 4]",28,2023
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05_yes. did you report your experience of bullying and harassment? (% selecting 'yes') [note 8]",28,2023
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report your experience of bullying and/or harassment? (% no)",28,2022
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report your experience of bullying and/or harassment? (% no) [note 3]",28,2022
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report your experience of bullying and/or harassment? (% prefer not to say)",28,2022
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report your experience of bullying and/or harassment? (% prefer not to say) [note 3]",28,2022
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report your experience of bullying and/or harassment? (% yes)",28,2022
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report your experience of bullying and/or harassment? (% yes) [note 3]",28,2022
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report your experience of bullying and harassment? (% yes) [note 5]",28,2021
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report your experience of bullying and/or harassment? (% no) [note 2]",28,2021
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report your experience of bullying and/or harassment? (% prefer not to say) [note 2]",28,2021
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report your experience of bullying and/or harassment? (% yes) [note 2]",28,2021
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05: did you report your experience of bullying and/or harassment? (% yes)",28,2020
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report the bullying and harassment you experienced? (% yes, of those who answered yes to e03)",28,2019
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report the bullying and harassment you experienced?",28,2018
"dhb.reported_bullying","(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","e05. did you report the bullying and harassment you experienced? (% yes)",28,2018
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b_no has the bullying and harassment stopped? (% selecting 'no') [note 5]",26,2024
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b_pnts has the bullying and harassment stopped? (% selecting 'prefer not to say') [note 5]",26,2024
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b_yes has the bullying and harassment stopped? (% selecting 'yes') [note 5]",26,2024
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b_yes has the bullying and harassment stopped? (% selecting 'yes') [note 8]",26,2024
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","has the bullying and harassment stopped? (% selecting 'no')",26,2024
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","has the bullying and harassment stopped? (% selecting 'prefer not to say')",26,2024
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","has the bullying and harassment stopped? (% selecting 'yes')",26,2024
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b_no. has the bullying and harassment stopped? (% selecting 'no')",26,2023
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b_pnts. has the bullying and harassment stopped? (% selecting 'prefer not to say')",26,2023
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b_yes. has the bullying and harassment stopped? (% selecting 'yes')",26,2023
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. has the bullying and / or harassment stopped? (% yes) [note 3]",26,2022
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. has the bullying and/or harassment stopped? (% no)",26,2022
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. has the bullying and/or harassment stopped? (% no) [note 3]",26,2022
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. has the bullying and/or harassment stopped? (% prefer not to say)",26,2022
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. has the bullying and/or harassment stopped? (% prefer not to say) [note 3]",26,2022
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. has the bullying and/or harassment stopped? (% yes)",26,2022
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. has the bullying and/or harassment stopped? (% yes) [note 3]",26,2022
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. has the bullying and harassment stopped? (% yes) [note 5]",26,2021
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. the bullying and/or harassment has stopped (% no)",26,2021
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. the bullying and/or harassment has stopped (% no) [note 2]",26,2021
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. the bullying and/or harassment has stopped (% prefer not to say)",26,2021
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. the bullying and/or harassment has stopped (% prefer not to say) [note 2]",26,2021
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. the bullying and/or harassment has stopped (% yes)",26,2021
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b. the bullying and/or harassment has stopped (% yes) [note 2]",26,2021
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","e06_b: the bullying and/or harassment has stopped (% yes)",26,2020
"dhb.bullying_has_stopped","has.*bullying.*stopped|bullying.*has.stopped","b. the bullying and/or harassment has stopped",26,2019
"dhb.appropriate_action","appropriate.action","e06_a_no was appropriate action taken to address the behaviour you experienced? (% selecting 'no') [note 5]",25,2024
"dhb.appropriate_action","appropriate.action","e06_a_pnts was appropriate action taken to address the behaviour you experienced? (% selecting 'prefer not to say') [note 5]",25,2024
"dhb.appropriate_action","appropriate.action","e06_a_yes was appropriate action taken to address the behaviour you experienced? (% selecting 'yes') [note 5]",25,2024
"dhb.appropriate_action","appropriate.action","e06_a_yes was appropriate action taken to address the behaviour you experienced? (% selecting 'yes') [note 8]",25,2024
"dhb.appropriate_action","appropriate.action","was appropriate action taken to address the behaviour you experienced? (% selecting 'no')",25,2024
"dhb.appropriate_action","appropriate.action","was appropriate action taken to address the behaviour you experienced? (% selecting 'prefer not to say')",25,2024
"dhb.appropriate_action","appropriate.action","was appropriate action taken to address the behaviour you experienced? (% selecting 'yes')",25,2024
"dhb.appropriate_action","appropriate.action","e06_a_no. was appropriate action taken to address the behaviour you experienced? (% selecting 'no')",25,2023
"dhb.appropriate_action","appropriate.action","e06_a_pnts. was appropriate action taken to address the behaviour you experienced? (% selecting 'prefer not to say')",25,2023
"dhb.appropriate_action","appropriate.action","e06_a_yes. was appropriate action taken to address the behaviour you experienced? (% selecting 'yes')",25,2023
"dhb.appropriate_action","appropriate.action","e06_a. was appropriate action taken to address the behaviour you experienced? (% no)",25,2022
"dhb.appropriate_action","appropriate.action","e06_a. was appropriate action taken to address the behaviour you experienced? (% no) [note 3]",25,2022
"dhb.appropriate_action","appropriate.action","e06_a. was appropriate action taken to address the behaviour you experienced? (% prefer not to say)",25,2022
"dhb.appropriate_action","appropriate.action","e06_a. was appropriate action taken to address the behaviour you experienced? (% prefer not to say) [note 3]",25,2022
"dhb.appropriate_action","appropriate.action","e06_a. was appropriate action taken to address the behaviour you experienced? (% yes)",25,2022
"dhb.appropriate_action","appropriate.action","e06_a. was appropriate action taken to address the behaviour you experienced? (% yes) [note 3]",25,2022
"dhb.appropriate_action","appropriate.action","e06_a. appropriate action was taken to address the behaviour i experienced (% no)",25,2021
"dhb.appropriate_action","appropriate.action","e06_a. appropriate action was taken to address the behaviour i experienced (% no) [note 2]",25,2021
"dhb.appropriate_action","appropriate.action","e06_a. appropriate action was taken to address the behaviour i experienced (% prefer not to say)",25,2021
"dhb.appropriate_action","appropriate.action","e06_a. appropriate action was taken to address the behaviour i experienced (% prefer not to say) [note 2]",25,2021
"dhb.appropriate_action","appropriate.action","e06_a. appropriate action was taken to address the behaviour i experienced (% yes)",25,2021
"dhb.appropriate_action","appropriate.action","e06_a. appropriate action was taken to address the behaviour i experienced (% yes) [note 2]",25,2021
"dhb.appropriate_action","appropriate.action","e06_a. was appropriate action taken to address the behaviour you experienced? (% yes) [note 5]",25,2021
"dhb.appropriate_action","appropriate.action","e06_a: appropriate action was taken to address the behaviour i experienced (% yes)",25,2020
"dhb.appropriate_action","appropriate.action","a. appropriate action was taken to address the behaviour i experienced",25,2019
"dhb.culture_continue","culture.*allow.*continue","does the culture where you work allow this kind of behaviour to continue? (% selecting 'no')",25,2024
"dhb.culture_continue","culture.*allow.*continue","does the culture where you work allow this kind of behaviour to continue? (% selecting 'prefer not to say')",25,2024
"dhb.culture_continue","culture.*allow.*continue","does the culture where you work allow this kind of behaviour to continue? (% selecting 'yes')",25,2024
"dhb.culture_continue","culture.*allow.*continue","e06_c_no does the culture where you work allow this kind of behaviour to continue? (% selecting 'no') [note 5]",25,2024
"dhb.culture_continue","culture.*allow.*continue","e06_c_pnts does the culture where you work allow this kind of behaviour to continue? (% selecting 'prefer not to say') [note 5]",25,2024
"dhb.culture_continue","culture.*allow.*continue","e06_c_yes does the culture where you work allow this kind of behaviour to continue? (% selecting 'yes') [note 5]",25,2024
"dhb.culture_continue","culture.*allow.*continue","e06_c_yes does the culture where you work allow this kind of behaviour to continue? (% selecting 'yes') [note 8]",25,2024
"dhb.culture_continue","culture.*allow.*continue","e06_c_no. does the culture where you work allow this kind of behaviour to continue? (% selecting 'no')",25,2023
"dhb.culture_continue","culture.*allow.*continue","e06_c_pnts. does the culture where you work allow this kind of behaviour to continue? (% selecting 'prefer not to say')",25,2023
"dhb.culture_continue","culture.*allow.*continue","e06_c_yes. does the culture where you work allow this kind of behaviour to continue? (% selecting 'yes')",25,2023
"dhb.culture_continue","culture.*allow.*continue","e06_c. does the culture where you work allow this kind of behaviour to continue? (% no)",25,2022
"dhb.culture_continue","culture.*allow.*continue","e06_c. does the culture where you work allow this kind of behaviour to continue? (% no) [note 3]",25,2022
"dhb.culture_continue","culture.*allow.*continue","e06_c. does the culture where you work allow this kind of behaviour to continue? (% prefer not to say)",25,2022
"dhb.culture_continue","culture.*allow.*continue","e06_c. does the culture where you work allow this kind of behaviour to continue? (% prefer not to say) [note 3]",25,2022
"dhb.culture_continue","culture.*allow.*continue","e06_c. does the culture where you work allow this kind of behaviour to continue? (% yes)",25,2022
"dhb.culture_continue","culture.*allow.*continue","e06_c. does the culture where you work allow this kind of behaviour to continue? (% yes) [note 3]",25,2022
"dhb.culture_continue","culture.*allow.*continue","e06_c. does the culture where you work allow this kind of behaviour to continue? (% yes) [note 5]",25,2021
"dhb.culture_continue","culture.*allow.*continue","e06_c. the culture in my area allows this kind of behaviour to continue (% no)",25,2021
"dhb.culture_continue","culture.*allow.*continue","e06_c. the culture in my area allows this kind of behaviour to continue (% no) [note 2]",25,2021
"dhb.culture_continue","culture.*allow.*continue","e06_c. the culture in my area allows this kind of behaviour to continue (% prefer not to say)",25,2021
"dhb.culture_continue","culture.*allow.*continue","e06_c. the culture in my area allows this kind of behaviour to continue (% prefer not to say) [note 2]",25,2021
"dhb.culture_continue","culture.*allow.*continue","e06_c. the culture in my area allows this kind of behaviour to continue (% yes)",25,2021
"dhb.culture_continue","culture.*allow.*continue","e06_c. the culture in my area allows this kind of behaviour to continue (% yes) [note 2]",25,2021
"dhb.culture_continue","culture.*allow.*continue","e06_c: the culture in my area allows this kind of behaviour to continue (% yes)",25,2020
"dhb.culture_continue","culture.*allow.*continue","c. the culture in my area allows this kind of behaviour to continue",25,2019
"dhb.punished_reporting","punished.*reporting","did you feel like you were punished for reporting the incident? (% selecting 'no')",25,2024
"dhb.punished_reporting","punished.*reporting","did you feel like you were punished for reporting the incident? (% selecting 'prefer not to say')",25,2024
"dhb.punished_reporting","punished.*reporting","did you feel like you were punished for reporting the incident? (% selecting 'yes')",25,2024
"dhb.punished_reporting","punished.*reporting","e06_d_no did you feel like you were punished for reporting the incident? (% selecting 'no') [note 5]",25,2024
"dhb.punished_reporting","punished.*reporting","e06_d_pnts did you feel like you were punished for reporting the incident? (% selecting 'prefer not to say') [note 5]",25,2024
"dhb.punished_reporting","punished.*reporting","e06_d_yes did you feel like you were punished for reporting the incident? (% selecting 'yes') [note 5]",25,2024
"dhb.punished_reporting","punished.*reporting","e06_d_yes did you feel like you were punished for reporting the incident? (% selecting 'yes') [note 8]",25,2024
"dhb.punished_reporting","punished.*reporting","e06_d_no. did you feel like you were punished for reporting the incident? (% selecting 'no')",25,2023
"dhb.punished_reporting","punished.*reporting","e06_d_pnts. did you feel like you were punished for reporting the incident? (% selecting 'prefer not to say')",25,2023
"dhb.punished_reporting","punished.*reporting","e06_d_yes. did you feel like you were punished for reporting the incident? (% selecting 'yes')",25,2023
"dhb.punished_reporting","punished.*reporting","e06_d. did you feel like you were punished for reporting the incident? (% no)",25,2022
"dhb.punished_reporting","punished.*reporting","e06_d. did you feel like you were punished for reporting the incident? (% no) [note 3]",25,2022
"dhb.punished_reporting","punished.*reporting","e06_d. did you feel like you were punished for reporting the incident? (% prefer not to say)",25,2022
"dhb.punished_reporting","punished.*reporting","e06_d. did you feel like you were punished for reporting the incident? (% prefer not to say) [note 3]",25,2022
"dhb.punished_reporting","punished.*reporting","e06_d. did you feel like you were punished for reporting the incident? (% yes)",25,2022
"dhb.punished_reporting","punished.*reporting","e06_d. did you feel like you were punished for reporting the incident? (% yes) [note 3]",25,2022
"dhb.punished_reporting","punished.*reporting","e06_d. did you feel like you were punished for reporting the incident? (% yes) [note 5]",25,2021
"dhb.punished_reporting","punished.*reporting","e06_d. i felt like i was punished for reporting the incident (% no)",25,2021
"dhb.punished_reporting","punished.*reporting","e06_d. i felt like i was punished for reporting the incident (% no) [note 2]",25,2021
"dhb.punished_reporting","punished.*reporting","e06_d. i felt like i was punished for reporting the incident (% prefer not to say)",25,2021
"dhb.punished_reporting","punished.*reporting","e06_d. i felt like i was punished for reporting the incident (% prefer not to say) [note 2]",25,2021
"dhb.punished_reporting","punished.*reporting","e06_d. i felt like i was punished for reporting the incident (% yes)",25,2021
"dhb.punished_reporting","punished.*reporting","e06_d. i felt like i was punished for reporting the incident (% yes) [note 2]",25,2021
"dhb.punished_reporting","punished.*reporting","e06_d: i felt like i was punished for reporting the incident (% yes)",25,2020
"dhb.punished_reporting","punished.*reporting","d. i felt like i was punished for reporting the incident",25,2019
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01_no have you been discriminated against at work in the last 12 months? (% selecting 'no')",18,2024
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01_pnts have you been discriminated against at work in the last 12 months? (% selecting 'prefer not to say')",18,2024
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01_yes have you been discriminated against at work in the last 12 months? (% selecting 'yes')",18,2024
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","have you been discriminated against at work in the last 12 months? (% selecting 'no')",18,2024
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","have you been discriminated against at work in the last 12 months? (% selecting 'prefer not to say')",18,2024
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","have you been discriminated against at work in the last 12 months? (% selecting 'yes')",18,2024
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01_no. have you been discriminated against at work in the last 12 months? (% selecting 'no')",18,2023
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01_pnts. have you been discriminated against at work in the last 12 months? (% selecting 'prefer not to say')",18,2023
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01_yes. have you been discriminated against at work in the last 12 months? (% selecting 'yes')",18,2023
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01. have you been discriminated against at work, in the past 12 months? (% no)",18,2022
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01. have you been discriminated against at work, in the past 12 months? (% prefer not to say)",18,2022
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01. have you been discriminated against at work, in the past 12 months? (% yes)",18,2022
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01. have you been discriminated against at work in the last 12 months? (% yes)",18,2021
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01: have you been discriminated against at work, in the past 12 months? (% yes)",18,2020
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01. during the past 12 months have you personally experienced discrimination at work?",18,2018
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01. during the past 12 months, have you personally experienced discrimination at work? (% yes)",18,2018
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","e01. during the past 12 months, have you personally experienced discrimination at work?",18,2011
"dhb.experienced_discrimination","(been|during.*experienced).(discrim)","f01. during the past 12 months have you personally experienced discrimination at work? (% yes)",18,2010
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03_no have you been bullied or harassed at work, in the past 12 months? (% selecting 'no')",17,2024
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03_pnts have you been bullied or harassed at work, in the past 12 months? (% selecting 'prefer not to say')",17,2024
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03_yes have you been bullied or harassed at work, in the past 12 months? (% selecting 'yes')",17,2024
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","have you been bullied or harassed at work, in the past 12 months? (% selecting 'no')",17,2024
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","have you been bullied or harassed at work, in the past 12 months? (% selecting 'prefer not to say')",17,2024
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","have you been bullied or harassed at work, in the past 12 months? (% selecting 'yes')",17,2024
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03_no. have you been bullied or harassed at work, in the past 12 months? (% selecting 'no')",17,2023
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03_pnts. have you been bullied or harassed at work, in the past 12 months? (% selecting 'prefer not to say')",17,2023
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03_yes. have you been bullied or harassed at work, in the past 12 months? (% selecting 'yes')",17,2023
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03. have you been bullied or harassed at work, in the past 12 months? (% no)",17,2022
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03. have you been bullied or harassed at work, in the past 12 months? (% prefer not to say)",17,2022
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03. have you been bullied or harassed at work, in the past 12 months? (% yes)",17,2022
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03: have you been bullied or harassed at work, in the past 12 months? (% yes)",17,2020
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03. during the past 12 months have you personally experienced bullying or harassment at work?",17,2018
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03. during the past 12 months, have you personally experienced bullying or harassment at work? (% yes)",17,2018
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","e03. during the past 12 months, have you personally experienced bullying or harassment at work?",17,2011
"dhb.experienced_bullying","(been|experienced).(bull(ied|ying))","f03. during the past 12 months have you personally experienced bullying or harassment at work? (% yes)",17,2010
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","lm_ts my manager theme score (% positive, b08 to b16)",15,2024
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","my manager theme score (% positive, b08 to b16)",15,2024
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","lm_ts. my manager theme score (% positive, b08 to b16)",15,2023
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","lm_ts. my manager theme score (% positive, b08-b16) [note 1]",15,2022
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","my manager theme score (% positive, b08-b16)",15,2022
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","my manager theme score (% positive, b08-b16) [note 7]",15,2022
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","lm_p. my manager theme score (% positive, b08-b17)",15,2021
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","lm_ts. my manager theme score (% positive, b08-b17)",15,2021
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","my manager theme score (% positive, b08-b17)",15,2021
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","lm_p: my manager theme score (% positive, b08 to b17) [3]",15,2020
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","my manager",15,2020
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","my manager theme score (b08-b17)",15,2019
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","lm_ts",15,2016
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","my manager theme score (b09-b18)",15,2016
"000.my_manager","^my.*manager(\stheme.*)?$|^lm_.*","my line manager theme score (b09-b18 average)",15,2011
"000.leadership_change","^leadership.*managing.change|^lc_","lc_ts leadership and managing change theme score (% positive, b38 to b46)",14,2024
"000.leadership_change","^leadership.*managing.change|^lc_","leadership and managing change theme score (% positive, b38 to b46)",14,2024
"000.leadership_change","^leadership.*managing.change|^lc_","lc_ts. leadership and managing change theme score (% positive, b38 to b46)",14,2023
"000.leadership_change","^leadership.*managing.change|^lc_","lc_ts. leadership and managing change theme score (% positive, b38-b46)",14,2022
"000.leadership_change","^leadership.*managing.change|^lc_","leadership and managing change theme score (% positive, b38-b46)",14,2022
"000.leadership_change","^leadership.*managing.change|^lc_","lc_p. leadership and managing change theme score (% positive, b38-b46)",14,2021
"000.leadership_change","^leadership.*managing.change|^lc_","lc_p: leadership and managing change theme score (% positive, b38 to b46) [3]",14,2020
"000.leadership_change","^leadership.*managing.change|^lc_","leadership and managing change",14,2020
"000.leadership_change","^leadership.*managing.change|^lc_","leadership and managing change theme score (b38-b46)",14,2019
"000.leadership_change","^leadership.*managing.change|^lc_","leadership and managing change 3",14,2017
"000.leadership_change","^leadership.*managing.change|^lc_","leadership and managing change1",14,2017
"000.leadership_change","^leadership.*managing.change|^lc_","lc_ts",14,2016
"000.leadership_change","^leadership.*managing.change|^lc_","leadership and managing change theme score (b40-b49)",14,2016
"000.leadership_change","^leadership.*managing.change|^lc_","leadership and managing change theme score (b40-b49 average)",14,2011
"000.objectives_purpose","^organisational.objectives|^op_","op_ts organisational objectives and purpose theme score (% positive, b06 to b07)",14,2024
"000.objectives_purpose","^organisational.objectives|^op_","organisational objectives and purpose theme score (% positive, b06 to b07)",14,2024
"000.objectives_purpose","^organisational.objectives|^op_","op_ts. organisational objectives and purpose theme score (% positive, b06 to b07)",14,2023
"000.objectives_purpose","^organisational.objectives|^op_","op_ts. organisational objectives and purpose theme score (% positive, b06-b07)",14,2022
"000.objectives_purpose","^organisational.objectives|^op_","organisational objectives and purpose theme score (% positive, b06-b07)",14,2022
"000.objectives_purpose","^organisational.objectives|^op_","op_p. organisational objectives and purpose theme score (% positive, b06-b07)",14,2021
"000.objectives_purpose","^organisational.objectives|^op_","op_p: organisational objectives and purpose theme score (% positive, b06 to b07) [3]",14,2020
"000.objectives_purpose","^organisational.objectives|^op_","organisational objectives and purpose",14,2020
"000.objectives_purpose","^organisational.objectives|^op_","organisational objectives and purpose theme score (b06-b07)",14,2019
"000.objectives_purpose","^organisational.objectives|^op_","organisational objectives and purpose 3",14,2017
"000.objectives_purpose","^organisational.objectives|^op_","organisational objectives and purpose1",14,2017
"000.objectives_purpose","^organisational.objectives|^op_","op_ts",14,2016
"000.objectives_purpose","^organisational.objectives|^op_","organisational objectives and purpose theme score (b06-b08)",14,2016
"000.objectives_purpose","^organisational.objectives|^op_","organisational objectives and purpose theme score (b06-b08 average)",14,2011
"000.resources_workload","^resources.*workload|^rw_","resources and workload theme score (% positive, b29 to b34)",14,2024
"000.resources_workload","^resources.*workload|^rw_","rw_ts resources and workload theme score (% positive, b29 to b34)",14,2024
"000.resources_workload","^resources.*workload|^rw_","rw_ts. resources and workload theme score (% positive, b29 to b34)",14,2023
"000.resources_workload","^resources.*workload|^rw_","resources and workload theme score (% positive, b29-b34)",14,2022
"000.resources_workload","^resources.*workload|^rw_","rw_ts. resources and workload theme score (% positive, b29-b34)",14,2022
"000.resources_workload","^resources.*workload|^rw_","rw_p. resources and workload theme score (% positive, b29-b34)",14,2021
"000.resources_workload","^resources.*workload|^rw_","resources and workload",14,2020
"000.resources_workload","^resources.*workload|^rw_","rw_p: resources and workload theme score (% positive, b29 to b34) [3]",14,2020
"000.resources_workload","^resources.*workload|^rw_","resources and workload theme score (b29-b34)",14,2019
"000.resources_workload","^resources.*workload|^rw_","resources and workload 3",14,2017
"000.resources_workload","^resources.*workload|^rw_","resources and workload1",14,2017
"000.resources_workload","^resources.*workload|^rw_","resources and workload theme score (b30-b36)",14,2016
"000.resources_workload","^resources.*workload|^rw_","rw_ts",14,2016
"000.resources_workload","^resources.*workload|^rw_","resources and workload theme score (b30-b36 average)",14,2011
