regex,uid_qm_txt
i.want.to.leave.*organisation.*as.soon.as.possible|^c01_1,int.leave_asap
i.want.to.leave.*organisation.*next.*months|^c01_2,int.leave_next_12m
i.want.to.stay.*organisation.*next.year|^c01_3,int.stay_next_year
i.want.to.stay.*organisation.*three.years|^c01_4,int.stay_three_years
interested.*work,mwk.interested_work
involved.*decisions,mwk.involved_decisions
issue.*resolved,dhb.bullying_resolved
know.*resources.*devolution,dvl.devolution_resources
know.about.*devolution,dvl.about_devolution
learning.*completed.*career,ldv.helping_career
learning.*completed.*performance,ldv.improve_performance
life.*worthwhile,wlb.life_worthwhile
long.covid,wlb.long_covid
management.standards,mgr.management_standards
manager.*considerate,mgr.manager_considerate
manager.*leads.*team,tpl.manager_leads
manager.*open,mgr.manager_open
manager.empowers,tpl.manager_empowers
manager.helps,mgr.understand_contribution
manager.inspires,tpl.manager_inspires
manager.motivates,mgr.manager_motivates
manager.recognises,mgr.manager_recognises
manager.trusts,tpl.manager_trusts
managers.*area.*role.model,tpl.managers_role_model
managers.where.*take.action,act.managers_action
money.worries,pay.money_worries
moved.*avoid,dhb.moved_to_avoid
my.manager.*role.model,tpl.supervisor_role_model
nature.*aggression,dhb.bullying_nature_aggression
nature.*appearance,dhb.bullying_nature_appearance
nature.*comments.*health,dhb.bullying_nature_health_comments
nature.*denied.*caring,dhb.bullying_nature_denied_caring
nature.*denied.*ill.health,dhb.bullying_nature_denied_illness
nature.*disclosure,dhb.bullying_nature_personal_details
nature.*gossip,dhb.bullying_nature_gossip
nature.*humiliated,dhb.bullying_nature_humiliated
nature.*ignored,dhb.bullying_nature_ignored
nature.*job.*criticism,dhb.bullying_nature_job_criticism
nature.*less.favourably,dhb.bullying_nature_unfavourable
nature.*micromanagement,dhb.bullying_nature_micromanagement
nature.*physical.assault,dhb.bullying_nature_assault
nature.*prefer.not,dhb.bullying_nature_pnts
nature.*sexual.harassment,dhb.bullying_nature_sexual_harassment
nature.*something.else,dhb.bullying_nature_something_else
nature.*undermining,dhb.bullying_nature_undermining
new.idea,tpl.try_new_ideas
opportunities.*develop.*career,ldv.opportunities_career
organisation.*inclusive,tpl.organisation_inclusive
organisation.*informed,lmc.kept_informed
organisation.*inspires,eng.organisation_inspires
organisation.*managed.well,lmc.organisation_managed_well
organisation.*motivates,eng.organisation_motivates
organisation.*we.*they,tpl.organisation_we_they
organisation.*wellbeing,wlb.organisation_support
pay.*performance,pay.reflects_performance
pay.*reasonable,pay.pay_reasonable
performance.*fairly,mgr.performance_fairly
performance.*things.done,tpl.performance_things_done
perma,wlb.perma_index
personal.attachment,eng.personal_attachment
poor.performance,mgr.poor_performance
proud.*tell,eng.proud_to_tell
proxy.stress,wlb.stress_index
punished.*reporting,dhb.punished_reporting
rate.*mental.health,wlb.mental_health
rate.*physical.health,wlb.physical_health
recommend.*organisation,eng.recommend_organisation
reform.*improving,tpl.reform_improving
regular.feedback,mgr.regular_feedback
report.*another.way(\s\(|'),dhb.reported_another_way
report.*complaint,dhb.reported_complaint
report.*confided,dhb.reported_confided
report.*less.formal,dhb.reported_less_formal
respects.*differences,ift.respects_differences
response.rate,meta.response_rate
safe.to.challenge,lmc.safe_to_challenge
satisfied.*benefits,pay.satisfied_benefits
satisfied.*life,wlb.satisfied_life
senior.*consistent.*values,lmc.seniors_consistent_values
senior.*empower,tpl.seniors_empower
senior.*inspire,tpl.seniors_inspire
senior.*lead.*confidence,tpl.senior_lead_confidence
senior.*role.model,tpl.seniors_role_model
senior.*take.action,act.senior_action
senior.*visible,lmc.seniors_visible
skills.*need,rwk.skills_needed
speak.up,tpl.speak_up_risk
team.*care.*wellbeing,wlb.team_care
team.*encouraged,tem.team_encouraged
team.*improve,tem.improve_service
team.*relied.upon,tem.relied_upon
technology.*collaborate,tpl.technology_collaborate
tools.*need,rwk.tools_needed
training.*information,inf.information_training
treated.*respect,ift.treated_respect
treated.fairly,ift.treated_fairly
trusted.*carry.out,tpl.trusted_job
understand.*civil.service.code,csc.understand_conduct
understanding.*objectives,obj.understanding_objectives
understanding.*purpose,obj.understanding_purpose
valued.*work,ift.work_valued
who.*bullied.*prefer.not,dhb.bullied_by_pnts
why.*leave.*better.*balance,int.why_leave_better_balance
why.*leave.*better.*pay,int.why_leave_better_pay
why.*leave.*end.*contract,int.why_leave_end_contract
why.*leave.*inclusion,int.why_leave_lack_inclusion
why.*leave.*interesting.work,int.why_leave_interesting_work
why.*leave.*organisational.culture,int.why_leave_organisational_culture
why.*leave.*other,int.why_leave_other
why.*leave.*personal,int.why_leave_personal
why.*leave.*poor.*management,int.why_leave_poor_management
why.*leave.*poor.leadership,int.why_leave_poor_leadership
why.*leave.*promotion.*outside,int.why_leave_external_promotion
why.*leave.*promotion.*within,int.why_leave_internal_promotion
why.*leave.*retiring,int.why_leave_retiring
why.*leave.*want.*change,int.why_leave_want_change
why.*leave.*work.relationships,int.why_leave_work_relationships
why.*leave.*workload,int.why_leave_workload
work.*accomplishment,mwk.personal_accomplishment
work.objectives,rwk.work_objectives
