year,qid,base_labels
2019,acceptable_workload,B33. I have an acceptable workload
2019,acceptable_workload,B33. I have an acceptable workload (% strongly agree or agree)
2020,acceptable_workload,B33: I have an acceptable workload (% strongly agree or agree)
2020,acceptable_workload,B33. I have an acceptable workload (% strongly agree or agree)
2020,acceptable_workload,I have an acceptable workload
2021,acceptable_workload,B33. I have an acceptable workload (% strongly agree or agree)
2022,acceptable_workload,B33. I have an acceptable workload (% strongly agree or agree)
2009,access_learning,B22. I am able to access the right learning and development opportunities when I need to
2009,access_learning,B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2010,access_learning,B22. I am able to access the right learning and development opportunities when I need to
2010,access_learning,B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2011,access_learning,B22. I am able to access the right learning and development opportunities when I need to
2011,access_learning,B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2012,access_learning,B22. I am able to access the right learning and development opportunities when I need to
2012,access_learning,B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2013,access_learning,B22. I am able to access the right learning and development opportunities when I need to
2013,access_learning,B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2014,access_learning,B22. I am able to access the right learning and development opportunities when I need to
2014,access_learning,B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2015,access_learning,B22. I am able to access the right learning and development opportunities when I need to
2015,access_learning,B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2016,access_learning,B22
2016,access_learning,B22. I am able to access the right learning and development opportunities when I need to
2016,access_learning,B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2017,access_learning,B21
2017,access_learning,B21. I am able to access the right learning and development opportunities when I need to
2017,access_learning,B21. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2018,access_learning,B21
2018,access_learning,B21. I am able to access the right learning and development opportunities when I need to
2018,access_learning,B21. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2019,access_learning,B21
2019,access_learning,B21. I am able to access the right learning and development opportunities when I need to
2019,access_learning,B21. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2020,access_learning,B21: I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2020,access_learning,B21. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2020,access_learning,I am able to access the right learning and development opportunities when I need to
2021,access_learning,B21. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2022,access_learning,B21. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree)
2009,balance_worklife,B36. I achieve a good balance between my work life and my private life
2009,balance_worklife,B36. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2010,balance_worklife,B36. I achieve a good balance between my work life and my private life
2010,balance_worklife,B36. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2011,balance_worklife,B36. I achieve a good balance between my work life and my private life
2011,balance_worklife,B36. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2012,balance_worklife,B36. I achieve a good balance between my work life and my private life
2012,balance_worklife,B36. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2013,balance_worklife,B36. I achieve a good balance between my work life and my private life
2013,balance_worklife,B36. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2014,balance_worklife,B36. I achieve a good balance between my work life and my private life
2014,balance_worklife,B36. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2015,balance_worklife,B36. I achieve a good balance between my work life and my private life
2015,balance_worklife,B36. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2016,balance_worklife,B36
2016,balance_worklife,B36. I achieve a good balance between my work life and my private life
2016,balance_worklife,B36. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2017,balance_worklife,B34
2017,balance_worklife,B34. I achieve a good balance between my work life and my private life
2017,balance_worklife,B34. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2018,balance_worklife,B34
2018,balance_worklife,B34. I achieve a good balance between my work life and my private life
2018,balance_worklife,B34. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2019,balance_worklife,B34
2019,balance_worklife,B34. I achieve a good balance between my work life and my private life
2019,balance_worklife,B34. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2020,balance_worklife,B34: I achieve a good balance between my work life and my private life (% strongly agree or agree)
2020,balance_worklife,B34. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2020,balance_worklife,I achieve a good balance between my work life and my private life
2021,balance_worklife,B34. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2022,balance_worklife,B34. I achieve a good balance between my work life and my private life (% strongly agree or agree)
2009,bullied_who_colleague,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A colleague"
2010,bullied_who_colleague,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A colleague"
2011,bullied_who_colleague,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A colleague"
2012,bullied_who_colleague,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A colleague"
2013,bullied_who_colleague,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A colleague"
2017,bullied_who_colleague,E04_1.Who bullied or harassed?_A colleague (% yes to E03 selecting this option)
2018,bullied_who_colleague,E04_1.Who bullied or harassed?_A colleague (% yes to E03 selecting this option)
2019,bullied_who_contractor,E04_08.Who bullied and/or harassed you?_A contractor (% yes to E03 selecting this option)
2020,bullied_who_contractor,E04_08: Who bullied and/or harassed you? – A contractor (% yes to E03 selecting this option)
2020,bullied_who_contractor,E04_08.Who bullied and/or harassed you? – A contractor (% yes to E03 selecting this option)
2021,bullied_who_contractor,E04_08. Who bullied and/or harassed you? A contractor (% of those ticking at least one E04 option)
2021,bullied_who_contractor,E04_08. Who bullied or harassed you? A contractor (% of those ticking at least one E04 option) [note 5]
2022,bullied_who_contractor,E04_08. Who bullied and/or harassed you? A contractor (% of those ticking at least one E04 option)
2019,bullied_who_cs_org,E04_06.Who bullied and/or harassed you?_Someone working in a different Civil Service organisation (% yes to E03 selecting this option)
2020,bullied_who_cs_org,E04_06: Who bullied and/or harassed you? – Someone working in a different Civil Service organisation (% yes to E03 selecting this option)
2020,bullied_who_cs_org,E04_06.Who bullied and/or harassed you? – Someone working in a different Civil Service organisation (% yes to E03 selecting this option)
2021,bullied_who_cs_org,E04_06. Who bullied and/or harassed you? Someone working in a different Civil Service organisation (% of those ticking at least one E04 option)
2021,bullied_who_cs_org,E04_06. Who bullied or harassed you? Someone working in a different Civil Service organisation (% of those ticking at least one E04 option) [note 5]
2022,bullied_who_cs_org,E04_06. Who bullied and/or harassed you? Someone working in a different Civil Service organisation (% of those ticking at least one E04 option)
2009,bullied_who_different_colleague,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone who works for another part of [your organisation]"
2010,bullied_who_different_colleague,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone who works for another part of [your organisation]"
2011,bullied_who_different_colleague,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone who works for another part of [your organisation]"
2012,bullied_who_different_colleague,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone who works for another part of [your organisation]"
2013,bullied_who_different_colleague,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone who works for another part of [your organisation]"
2017,bullied_who_different_colleague,E04_5.Who bullied or harassed?_Someone who works for another part of [your organisation] (% yes to E03 selecting this option)
2018,bullied_who_different_colleague,E04_5.Who bullied or harassed?_Someone who works for another part of [your organisation] (% yes to E03 selecting this option)
2019,bullied_who_different_colleague,E04_02.Who bullied and/or harassed you?_A colleague in a different Area/Directorate/Division of [my organisation]  (% yes to E03 selecting this option)
2020,bullied_who_different_colleague,E04_02: Who bullied and/or harassed you? – A colleague in a different Area/Directorate/Division of [my organisation] (% yes to E03 selecting this option)
2020,bullied_who_different_colleague,E04_02.Who bullied and/or harassed you? – A colleague in a different Area/Directorate/Division of [my organisation]  (% yes to E03 selecting this option)
2021,bullied_who_different_colleague,E04_02. Who bullied and/or harassed you? A colleague in a different Area/Directorate/Division of [my organisation] (% of those ticking at least one E04 option)
2021,bullied_who_different_colleague,"E04_02. Who bullied or harassed you? A colleague in a different area, directorate, division of [my organisation] (% of those ticking at least one E04 option) [note 5]"
2022,bullied_who_different_colleague,"E04_02. Who bullied and/or harassed you? A colleague in a different Area, Directorate, Division of [my organisation] (% of those ticking at least one E04 option)"
2009,bullied_who_direct_report,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone you manage"
2010,bullied_who_direct_report,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone you manage"
2011,bullied_who_direct_report,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone you manage"
2012,bullied_who_direct_report,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone you manage"
2013,bullied_who_direct_report,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone you manage"
2017,bullied_who_direct_report,E04_4.Who bullied or harassed?_Someone you manage (% yes to E03 selecting this option)
2018,bullied_who_direct_report,E04_4.Who bullied or harassed?_Someone you manage (% yes to E03 selecting this option)
2019,bullied_who_direct_report,E04_05.Who bullied and/or harassed you?_Someone I manage (% yes to E03 selecting this option)
2020,bullied_who_direct_report,E04_05: Who bullied and/or harassed you? – Someone I manage (% yes to E03 selecting this option)
2020,bullied_who_direct_report,E04_05.Who bullied and/or harassed you? – Someone I manage (% yes to E03 selecting this option)
2021,bullied_who_direct_report,E04_05. Who bullied and/or harassed you? Someone I manage (% of those ticking at least one E04 option)
2021,bullied_who_direct_report,E04_05. Who bullied or harassed you? Someone I manage (% of those ticking at least one E04 option) [note 5]
2022,bullied_who_direct_report,E04_05. Who bullied and/or harassed you? Someone I manage (% of those ticking at least one E04 option)
2019,bullied_who_immediate_colleague,E04_01.Who bullied and/or harassed you?_A colleague in my Area/Directorate/Division (% yes to E03 selecting this option)
2020,bullied_who_immediate_colleague,E04_01: Who bullied and/or harassed you? – A colleague in my Area/Directorate/Division (% yes to E03 selecting this option)
2020,bullied_who_immediate_colleague,E04_01.Who bullied and/or harassed you? – A colleague in my Area/Directorate/Division (% yes to E03 selecting this option)
2021,bullied_who_immediate_colleague,E04_01. Who bullied and/or harassed you? A colleague in my Area/Directorate/Division (% of those ticking at least one E04 option)
2021,bullied_who_immediate_colleague,"E04_01. Who bullied or harassed you? A colleague in my area, directorate or division (% of those ticking at least one E03A option) [note 5]"
2022,bullied_who_immediate_colleague,"E04_01. Who bullied and/or harassed you? A colleague in my Area, Directorate or Division (% of those ticking at least one E04 option)"
2009,bullied_who_manager,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Your manager"
2010,bullied_who_manager,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Your manager"
2011,bullied_who_manager,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Your manager"
2012,bullied_who_manager,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Your manager"
2013,bullied_who_manager,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Your manager"
2017,bullied_who_manager,E04_2.Who bullied or harassed?_Your manager (% yes to E03 selecting this option)
2018,bullied_who_manager,E04_2.Who bullied or harassed?_Your manager (% yes to E03 selecting this option)
2019,bullied_who_manager,E04_03.Who bullied and/or harassed you?_My manager (% yes to E03 selecting this option)
2020,bullied_who_manager,E04_03: Who bullied and/or harassed you? – My manager (% yes to E03 selecting this option)
2020,bullied_who_manager,E04_03.Who bullied and/or harassed you? – My manager (% yes to E03 selecting this option)
2021,bullied_who_manager,E04_03. Who bullied and/or harassed you? My manager (% of those ticking at least one E04 option)
2021,bullied_who_manager,E04_03. Who bullied or harassed you? My manager (% of those ticking at least one E04 option) [note 5]
2022,bullied_who_manager,E04_03. Who bullied and/or harassed you? My manager (% of those ticking at least one E04 option)
2019,bullied_who_non_cs_org,E04_07.Who bullied and/or harassed you?_Someone working for a non-Civil Service organisation (% yes to E03 selecting this option)
2020,bullied_who_non_cs_org,E04_07: Who bullied and/or harassed you? – Someone working for a non-Civil Service organisation (% yes to E03 selecting this option)
2020,bullied_who_non_cs_org,E04_07.Who bullied and/or harassed you? – Someone working for a non-Civil Service organisation (% yes to E03 selecting this option)
2021,bullied_who_non_cs_org,E04_07. Who bullied and/or harassed you? Someone working for a non-Civil Service organisation (% of those ticking at least one E04 option)
2021,bullied_who_non_cs_org,E04_07. Who bullied or harassed you? Someone working for a non-Civil Service organisation (% of those ticking at least one E04 option) [note 5]
2022,bullied_who_non_cs_org,E04_07. Who bullied and/or harassed you? Someone working for a non-Civil Service organisation (% of those ticking at least one E04 option)
2009,bullied_who_other,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone else"
2010,bullied_who_other,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone else"
2011,bullied_who_other,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone else"
2012,bullied_who_other,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone else"
2013,bullied_who_other,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone else"
2017,bullied_who_other,E04_7.Who bullied or harassed?_Someone else (% yes to E03 selecting this option)
2018,bullied_who_other,E04_7.Who bullied or harassed?_Someone else (% yes to E03 selecting this option)
2019,bullied_who_other,E04_11.Who bullied and/or harassed you?_Someone else not listed here (% yes to E03 selecting this option)
2020,bullied_who_other,E04_11: Who bullied and/or harassed you? – Someone else not listed here (% yes to E03 selecting this option)
2020,bullied_who_other,E04_11.Who bullied and/or harassed you? – Someone else not listed here (% yes to E03 selecting this option)
2021,bullied_who_other,E04_11. Who bullied and/or harassed you? Someone else not listed here (% of those ticking at least one E04 option)
2021,bullied_who_other,E04_11. Who bullied or harassed you? Someone else not listed here (% of those ticking at least one E04 option) [note 5]
2022,bullied_who_other,E04_11. Who bullied and/or harassed you? Someone else not listed here (% of those ticking at least one E04 option)
2009,bullied_who_prefer,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Prefer not to say"
2010,bullied_who_prefer,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Prefer not to say"
2011,bullied_who_prefer,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Prefer not to say"
2012,bullied_who_prefer,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Prefer not to say"
2013,bullied_who_prefer,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Prefer not to say"
2017,bullied_who_prefer,E04_8.Who bullied or harassed?_Prefer not to say (% yes to E03 selecting this option)
2018,bullied_who_prefer,E04_8.Who bullied or harassed?_Prefer not to say (% yes to E03 selecting this option)
2019,bullied_who_prefer,E04_12.Who bullied and/or harassed you?_Prefer not to say (% yes to E03 selecting this option)
2020,bullied_who_prefer,E04_12: Who bullied and/or harassed you? – Prefer not to say (% yes to E03 selecting this option)
2020,bullied_who_prefer,E04_12.Who bullied and/or harassed you? – Prefer not to say (% yes to E03 selecting this option)
2021,bullied_who_prefer,E04_12. Who bullied and/or harassed you? Prefer not to say (% of those ticking at least one E04 option)
2021,bullied_who_prefer,E04_12. Who bullied or harassed you? Prefer not to say (% of those ticking at least one E04 option) [note 5]
2022,bullied_who_prefer,E04_12. Who bullied and/or harassed you? Prefer not to say (% of those ticking at least one E04 option)
2009,bullied_who_public,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A member of the public"
2010,bullied_who_public,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A member of the public"
2011,bullied_who_public,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A member of the public"
2012,bullied_who_public,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A member of the public"
2013,bullied_who_public,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A member of the public"
2017,bullied_who_public,E04_6.Who bullied or harassed?_A member of the public (% yes to E03 selecting this option)
2018,bullied_who_public,E04_6.Who bullied or harassed?_A member of the public (% yes to E03 selecting this option)
2019,bullied_who_public,E04_10.Who bullied and/or harassed you?_A member of the public (% yes to E03 selecting this option)
2020,bullied_who_public,E04_10: Who bullied and/or harassed you? – A member of the public (% yes to E03 selecting this option)
2020,bullied_who_public,E04_10.Who bullied and/or harassed you? – A member of the public (% yes to E03 selecting this option)
2021,bullied_who_public,E04_10. Who bullied and/or harassed you? A member of the public (% of those ticking at least one E04 option)
2021,bullied_who_public,E04_10. Who bullied or harassed you? A member of the public (% of those ticking at least one E04 option) [note 5]
2022,bullied_who_public,E04_10. Who bullied and/or harassed you? A member of the public (% of those ticking at least one E04 option)
2009,bullied_who_senior,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Another manager in your part of [your organisation]"
2010,bullied_who_senior,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Another manager in your part of [your organisation]"
2011,bullied_who_senior,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Another manager in your part of [your organisation]"
2012,bullied_who_senior,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Another manager in your part of [your organisation]"
2013,bullied_who_senior,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Another manager in your part of [your organisation]"
2017,bullied_who_senior,E04_3.Who bullied or harassed?_Another manager in your part of [your organisation] (% yes to E03 selecting this option)
2018,bullied_who_senior,E04_3.Who bullied or harassed?_Another manager in your part of [your organisation] (% yes to E03 selecting this option)
2019,bullied_who_senior,E04_04.Who bullied and/or harassed you?_Another senior member of staff in [my organisation] (% yes to E03 selecting this option)
2020,bullied_who_senior,E04_04: Who bullied and/or harassed you? – Another senior member of staff in [my organisation] (% yes to E03 selecting this option)
2020,bullied_who_senior,E04_04.Who bullied and/or harassed you? – Another senior member of staff in [my organisation] (% yes to E03 selecting this option)
2021,bullied_who_senior,E04_04. Who bullied and/or harassed you? Another senior member of staff in [my organisation] (% of those ticking at least one E04 option)
2021,bullied_who_senior,E04_04. Who bullied or harassed you? Another senior member of staff in [my organisation] (% of those ticking at least one E04 option) [note 5]
2022,bullied_who_senior,E04_04. Who bullied and/or harassed you? Another senior member of staff in [my organisation] (% of those ticking at least one E04 option)
2019,bullied_who_user,"E04_09.Who bullied and/or harassed you?_A service user (e.g. customer, claimant, offender) (% yes to E03 selecting this option)"
2020,bullied_who_user,"E04_09: Who bullied and/or harassed you? – A service user (e.g. customer, claimant, offender) (% yes to E03 selecting this option)"
2020,bullied_who_user,"E04_09.Who bullied and/or harassed you? – A service user (e.g. customer, claimant, offender) (% yes to E03 selecting this option)"
2021,bullied_who_user,"E04_09. Who bullied and/or harassed you? A service user (e.g. customer, claimant, offender) (% of those ticking at least one E04 option)"
2021,bullied_who_user,"E04_09. Who bullied or harassed you? A service user (for example, customer, claimant, offender) (% of those ticking at least one E04 option) [note 5]"
2022,bullied_who_user,"E04_09. Who bullied and/or harassed you? A service user (for example, customer, claimant, offender) (% of those ticking at least one E04 option)"
2019,bullying_appropriate_action_no,E06_A
2019,bullying_appropriate_action_no,E06_A. Appropriate action was taken to address the behaviour I experienced (% no)
2020,bullying_appropriate_action_no,E06_A. Appropriate action was taken to address the behaviour I experienced (% no)
2021,bullying_appropriate_action_no,E06_A. Appropriate action was taken to address the behaviour I experienced (% no)
2021,bullying_appropriate_action_no,E06_A. Appropriate action was taken to address the behaviour I experienced (% no) [note 2]
2022,bullying_appropriate_action_no,E06_A. Was appropriate action taken to address the behaviour you experienced? (% no)
2022,bullying_appropriate_action_no,E06_A. Was appropriate action taken to address the behaviour you experienced? (% no) [note 3]
2019,bullying_appropriate_action_pnts,E06_A
2019,bullying_appropriate_action_pnts,E06_A. Appropriate action was taken to address the behaviour I experienced (% prefer not to say)
2020,bullying_appropriate_action_pnts,E06_A. Appropriate action was taken to address the behaviour I experienced (% prefer not to say)
2021,bullying_appropriate_action_pnts,E06_A. Appropriate action was taken to address the behaviour I experienced (% prefer not to say)
2021,bullying_appropriate_action_pnts,E06_A. Appropriate action was taken to address the behaviour I experienced (% prefer not to say) [note 2]
2022,bullying_appropriate_action_pnts,E06_A. Was appropriate action taken to address the behaviour you experienced? (% prefer not to say)
