obj,obj_class,obj_vals,stripped_vals
qm_0913_bm,character,"B30. In my job, I am clear what is expected of me","in my job, i am clear what is expected of me"
qm_0913_bm,character,B31. I get the information I need to do my job well,i get the information i need to do my job well
qm_0913_bm,character,B32. I have clear work objectives,i have clear work objectives
qm_0913_bm,character,B33. I have the skills I need to do my job effectively,i have the skills i need to do my job effectively
qm_0913_bm,character,B34. I have the tools I need to do my job effectively,i have the tools i need to do my job effectively
qm_0913_bm,character,B35. I have an acceptable workload,i have an acceptable workload
qm_0913_bm,character,B36. I achieve a good balance between my work life and my private life,i achieve a good balance between my work life and my private life
qm_0913_bm,character,B37. I feel that my pay adequately reflects my performance,i feel that my pay adequately reflects my performance
qm_0913_bm,character,B38. I am satisfied with the total benefits package,i am satisfied with the total benefits package
qm_0913_bm,character,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable,compared to people doing a similar job in other organisations i feel my pay is reasonable
qm_0913_bm,character,B40. I feel that [my organisation] as a whole is managed well,i feel that my organisation as a whole is managed well
qm_0913_bm,character,B41. [Senior managers] in [my organisation] are sufficiently visible,senior managers in my organisation are sufficiently visible
qm_0913_bm,character,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values,i believe the actions of senior managers are consistent with my organisation's values
qm_0913_bm,character,B43. I believe that [the board has] a clear vision for the future of [my organisation],i believe that the board has a clear vision for the future of my organisation
qm_0913_bm,character,"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers]","overall, i have confidence in the decisions made by my organisation's senior managers"
qm_0913_bm,character,B45. I feel that change is managed well in [my organisation],i feel that change is managed well in my organisation
qm_0913_bm,character,B46. When changes are made in [my organisation] they are usually for the better,when changes are made in my organisation they are usually for the better
qm_0913_bm,character,B47. [My organisation] keeps me informed about matters that affect me,my organisation keeps me informed about matters that affect me
qm_0913_bm,character,B48. I have the opportunity to contribute my views before decisions are made that affect me,i have the opportunity to contribute my views before decisions are made that affect me
qm_0913_bm,character,B49. I think it is safe to challenge the way things are done in [my organisation],i think it is safe to challenge the way things are done in my organisation
qm_0913_bm,character,B50. I am proud when I tell others I am part of [my organisation],i am proud when i tell others i am part of my organisation
qm_0913_bm,character,B51. I would recommend [my organisation] as a great place to work,i would recommend my organisation as a great place to work
qm_0913_bm,character,B52. I feel a strong personal attachment to [my organisation],i feel a strong personal attachment to my organisation
qm_0913_bm,character,B53. [My organisation] inspires me to do the best in my job,my organisation inspires me to do the best in my job
qm_0913_bm,character,B54. [My organisation] motivates me to help it achieve its objectives,my organisation motivates me to help it achieve its objectives
qm_0913_bm,character,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey,i believe that senior managers in my organisation will take action on the results from this survey
qm_0913_bm,character,B56. I believe that managers where I work will take action on the results from this survey,i believe that managers where i work will take action on the results from this survey
qm_0913_bm,character,"B57. Where I work, I think effective action has been taken on the results of the last survey","where i work, i think effective action has been taken on the results of the last survey"
qm_0913_bm,character,B58. I am trusted to carry out my job effectively,i am trusted to carry out my job effectively
qm_0913_bm,character,"B59. I believe I would be supported if I try a new idea, even if it may not work","i believe i would be supported if i try a new idea, even if it may not work"
qm_0913_bm,character,"B60. My performance is evaluated based on whether I get things done, rather than solely follow process","my performance is evaluated based on whether i get things done, rather than solely follow process"
qm_0913_bm,character,"B61. When I talk about [my organisation] I say ""we"" rather than ""they","when i talk about my organisation i say ""we"" rather than ""they"
qm_0913_bm,character,B62. I have some really good friendships at work,i have some really good friendships at work
qm_0913_bm,character,C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to leave [my organisation] as soon as possible,which of the following statements most reflects your current thoughts about working for your organisation?: i want to leave my organisation as soon as possible
qm_0913_bm,character,C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to leave [my organisation] within the next 12 months,which of the following statements most reflects your current thoughts about working for your organisation?: i want to leave my organisation within the next 12 months
qm_0913_bm,character,C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to stay working for [my organisation] for at least the next year,which of the following statements most reflects your current thoughts about working for your organisation?: i want to stay working for my organisation for at least the next year
qm_0913_bm,character,C01. Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to stay working for [my organisation] for at least the next three years,which of the following statements most reflects your current thoughts about working for your organisation?: i want to stay working for my organisation for at least the next three years
qm_0913_bm,character,D01. Are you aware of the Civil Service Code?,are you aware of the civil service code?
qm_0913_bm,character,D02. Are you aware of how to raise a concern under the Civil Service Code?,are you aware of how to raise a concern under the civil service code?
qm_0913_bm,character,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,are you confident that if you raise a concern under the civil service code in your organisation it would be investigated properly?
qm_0913_bm,character,"W01. Overall, how satisfied are you with your life nowadays? (% 7-10) 
(0=not at all satisfied, 10=completely satisfied)","overall, how satisfied are you with your life nowadays? (% 7-10)"
qm_0913_bm,character,"W02. Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) 
(0=not at all worthwhile, 10=completely worthwhile)","overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10)"
qm_0913_bm,character,"W03. Overall, how happy did you feel yesterday? (% 7-10) 
(0=not at all happy, 10=completely happy)","overall, how happy did you feel yesterday? (% 7-10)"
qm_0913_bm,character,"W04. Overall, how anxious did you feel yesterday? (% 0-3) 
(0=not at all happy, 10=completely anxious)","overall, how anxious did you feel yesterday? (% 0-3)"
qm_0913_bm,character,E01. During the past 12 months have you personally experienced discrimination at work?,during the past 12 months have you personally experienced discrimination at work?
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Age",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: age
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Caring responsibilities",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: caring responsibilities
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Disability",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: disability
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Ethnic background",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: ethnic background
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Gender",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: gender
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Gender reassignment or perceived gender",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: gender reassignment or perceived gender
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Grade, payband or responsibility level","on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: grade, payband or responsibility level"
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Main spoken/written language or language ability",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: main spoken/written language or language ability
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Religion or belief",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: religion or belief
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Sexual orientation",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: sexual orientation
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Social or educational background",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: social or educational background
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Working location",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: working location
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Working pattern",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: working pattern
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Any other grounds",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: any other grounds
qm_0913_bm,character,"E02. On which of the following grounds have you personally experienced discrimination at work in the past 12 months? (Asked only of those that said ""yes"" to question E01, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E01 and may sum to more than 100%): Prefer not to say",on which of the following grounds have you personally experienced discrimination at work in the past 12 months?: prefer not to say
qm_0913_bm,character,E03. During the past 12 months have you personally experienced bullying or harassment at work?,during the past 12 months have you personally experienced bullying or harassment at work?
qm_0913_bm,character,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A colleague",who were you bullied or harassed by at work in the past 12 months?: a colleague
qm_0913_bm,character,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Your manager",who were you bullied or harassed by at work in the past 12 months?: your manager
qm_0913_bm,character,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Another manager in your part of [your organisation]",who were you bullied or harassed by at work in the past 12 months?: another manager in your part of your organisation
qm_0913_bm,character,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone you manage",who were you bullied or harassed by at work in the past 12 months?: someone you manage
qm_0913_bm,character,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone who works for another part of [your organisation]",who were you bullied or harassed by at work in the past 12 months?: someone who works for another part of your organisation
qm_0913_bm,character,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)A member of the public",who were you bullied or harassed by at work in the past 12 months?: a member of the public
qm_0913_bm,character,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Someone else",who were you bullied or harassed by at work in the past 12 months?: someone else
qm_0913_bm,character,"E04. Who were you bullied or harassed by at work in the past 12 months? (Asked only of those that said ""yes"" to question E03, multiple selection was allowed therefore the result is shown as a proportion of those who said yes to E03 and may sum to more than 100%)Prefer not to say",who were you bullied or harassed by at work in the past 12 months?: prefer not to say
qm_2009_org,character,Departmental grouping,departmental grouping
qm_2009_org,character,Organisation,organisation
qm_2009_org,character,Employee engagement index,employee engagement index
qm_2009_org,character,My work theme score (B01-B05),my work theme score
qm_2009_org,character,Organisational objectives and purpose theme score (B06-B08),organisational objectives and purpose theme score
qm_2009_org,character,My manager theme score (B09-B18),my manager theme score
qm_2009_org,character,My team theme score (B19-B21),my team theme score
qm_2009_org,character,Learning and development theme score (B22-B25),learning and development theme score
qm_2009_org,character,Inclusion and fair treatment theme score (B26-B29),inclusion and fair treatment theme score
qm_2009_org,character,Resources and workload theme score (B30-B36),resources and workload theme score
qm_2009_org,character,Pay and benefits theme score (B37-B39),pay and benefits theme score
qm_2009_org,character,Leadership and managing change theme score (B40-B49),leadership and managing change theme score
qm_2009_org,character,B01. I am interested in my work (% strongly agree or agree),i am interested in my work
qm_2009_org,character,B02. I am sufficiently challenged by my work (% strongly agree or agree),i am sufficiently challenged by my work
qm_2009_org,character,B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),my work gives me a sense of personal accomplishment
qm_2009_org,character,B04. I feel involved in the decisions that affect my work (% strongly agree or agree),i feel involved in the decisions that affect my work
qm_2009_org,character,B05. I have a choice in deciding how I do my work (% strongly agree or agree),i have a choice in deciding how i do my work
qm_2009_org,character,B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),i have a clear understanding of my organisation's purpose
qm_2009_org,character,B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),i have a clear understanding of my organisation's objectives
qm_2009_org,character,B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),i understand how my work contributes to my organisation's objectives
qm_2009_org,character,B09. My manager motivates me to be more effective in my job (% strongly agree or agree),my manager motivates me to be more effective in my job
qm_2009_org,character,B10. My manager is considerate of my life outside work (% strongly agree or agree),my manager is considerate of my life outside work
qm_2009_org,character,B11. My manager is open to my ideas (% strongly agree or agree),my manager is open to my ideas
qm_2009_org,character,B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),my manager helps me to understand how i contribute to my organisation's objectives
qm_2009_org,character,"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)","overall, i have confidence in the decisions made by my manager"
qm_2009_org,character,B14. My manager recognises when I have done my job well (% strongly agree or agree),my manager recognises when i have done my job well
qm_2009_org,character,B15. I receive regular feedback on my performance (% strongly agree or agree),i receive regular feedback on my performance
qm_2009_org,character,B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),the feedback i receive helps me to improve my performance
qm_2009_org,character,B17. I think that my performance is evaluated fairly (% strongly agree or agree),i think that my performance is evaluated fairly
qm_2009_org,character,B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),poor performance is dealt with effectively in my team
qm_2009_org,character,B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),the people in my team can be relied upon to help when things get difficult in my job
qm_2009_org,character,B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),the people in my team work together to find ways to improve the service we provide
qm_2009_org,character,B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),the people in my team are encouraged to come up with new and better ways of doing things
qm_2009_org,character,B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),i am able to access the right learning and development opportunities when i need to
qm_2009_org,character,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),learning and development activities i have completed in the past 12 months have helped to improve my performance
qm_2009_org,character,B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),there are opportunities for me to develop my career in my organisation
qm_2009_org,character,B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),learning and development activities i have completed while working for my organisation are helping me to develop my career
qm_2009_org,character,B26. I am treated fairly at work (% strongly agree or agree),i am treated fairly at work
qm_2009_org,character,B27. I am treated with respect by the people I work with (% strongly agree or agree),i am treated with respect by the people i work with
qm_2009_org,character,B28. I feel valued for the work I do (% strongly agree or agree),i feel valued for the work i do
qm_2009_org,character,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","i think that my organisation respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)"
qm_2009_org,character,"B30. In my job, I am clear what is expected of me (% strongly agree or agree)","in my job, i am clear what is expected of me"
qm_2009_org,character,B31. I get the information I need to do my job well (% strongly agree or agree),i get the information i need to do my job well
qm_2009_org,character,B32. I have clear work objectives (% strongly agree or agree),i have clear work objectives
qm_2009_org,character,B33. I have the skills I need to do my job effectively (% strongly agree or agree),i have the skills i need to do my job effectively
qm_2009_org,character,B34. I have the tools I need to do my job effectively (% strongly agree or agree),i have the tools i need to do my job effectively
qm_2009_org,character,B35. I have an acceptable workload (% strongly agree or agree),i have an acceptable workload
qm_2009_org,character,B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),i achieve a good balance between my work life and my private life
qm_2009_org,character,B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),i feel that my pay adequately reflects my performance
qm_2009_org,character,B38. I am satisfied with the total benefits package (% strongly agree or agree),i am satisfied with the total benefits package
qm_2009_org,character,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),compared to people doing a similar job in other organisations i feel my pay is reasonable
qm_2009_org,character,B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),i feel that my organisation as a whole is managed well
qm_2009_org,character,B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),senior managers in my organisation are sufficiently visible
qm_2009_org,character,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),i believe the actions of senior managers are consistent with my organisation's values
qm_2009_org,character,B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),i believe that the board has a clear vision for the future of my organisation
qm_2009_org,character,"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)","overall, i have confidence in the decisions made by my organisation's senior managers"
qm_2009_org,character,B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),i feel that change is managed well in my organisation
qm_2009_org,character,B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),when changes are made in my organisation they are usually for the better
qm_2009_org,character,B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),my organisation keeps me informed about matters that affect me
qm_2009_org,character,B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),i have the opportunity to contribute my views before decisions are made that affect me
qm_2009_org,character,B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),i think it is safe to challenge the way things are done in my organisation
qm_2009_org,character,B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),i am proud when i tell others i am part of my organisation
qm_2009_org,character,B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),i would recommend my organisation as a great place to work
qm_2009_org,character,B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),i feel a strong personal attachment to my organisation
qm_2009_org,character,B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),my organisation inspires me to do the best in my job
qm_2009_org,character,B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),my organisation motivates me to help it achieve its objectives
qm_2009_org,character,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),i believe that senior managers in my organisation will take action on the results from this survey
qm_2009_org,character,B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),i believe that managers where i work will take action on the results from this survey
qm_2009_org,character,D01. Are you aware of the Civil Service Code? (% yes),are you aware of the civil service code? (% yes)
qm_2009_org,character,D02. Are you aware of how to raise a concern under the Civil Service Code? (% yes),are you aware of how to raise a concern under the civil service code? (% yes)
qm_2009_org,character,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes),are you confident that if you raise a concern under the civil service code in your organisation it would be investigated properly? (% yes)
qm_2009_org,character,"E01. During the past 12 months, have you personally experienced discrimination at work? (% yes)","during the past 12 months, have you personally experienced discrimination at work? (% yes)"
qm_2009_org,character,"E03. During the past 12 months, have you personally experienced bullying or harassment at work? (% yes)","during the past 12 months, have you personally experienced bullying or harassment at work? (% yes)"
qm_2010_org,character,Departmental grouping,departmental grouping
qm_2010_org,character,Organisation,organisation
qm_2010_org,character,Employee Engagement Index,employee engagement index
qm_2010_org,character,My work theme score (B01-B05 average),my work theme score
qm_2010_org,character,Organisational objectives and purpose theme score (B06-B08 average),organisational objectives and purpose theme score
qm_2010_org,character,My line manager theme score (B09-B18 average),my line manager theme score
qm_2010_org,character,My team theme score (B19-B21 average),my team theme score
qm_2010_org,character,Learning and development theme score (B22-B25 average),learning and development theme score
qm_2010_org,character,Inclusion and fair treatment theme score (B26-B29 average),inclusion and fair treatment theme score
qm_2010_org,character,Resources and workload theme score (B30-B36 average),resources and workload theme score
qm_2010_org,character,Pay and benefits theme score (B37-B39 average),pay and benefits theme score
qm_2010_org,character,Leadership and managing change theme score (B40-B49 average),leadership and managing change theme score
qm_2010_org,character,B01. I am interested in my work (% strongly agree or agree),i am interested in my work
qm_2010_org,character,B02. I am sufficiently challenged by my work (% strongly agree or agree),i am sufficiently challenged by my work
qm_2010_org,character,B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),my work gives me a sense of personal accomplishment
qm_2010_org,character,B04. I feel involved in the decisions that affect my work (% strongly agree or agree),i feel involved in the decisions that affect my work
qm_2010_org,character,B05. I have a choice in deciding how I do my work (% strongly agree or agree),i have a choice in deciding how i do my work
qm_2010_org,character,B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),i have a clear understanding of my organisation's purpose
qm_2010_org,character,B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),i have a clear understanding of my organisation's objectives
qm_2010_org,character,B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),i understand how my work contributes to my organisation's objectives
qm_2010_org,character,B09. My manager motivates me to be more effective in my job (% strongly agree or agree),my manager motivates me to be more effective in my job
qm_2010_org,character,B10. My manager is considerate of my life outside work (% strongly agree or agree),my manager is considerate of my life outside work
qm_2010_org,character,B11. My manager is open to my ideas (% strongly agree or agree),my manager is open to my ideas
qm_2010_org,character,B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),my manager helps me to understand how i contribute to my organisation's objectives
qm_2010_org,character,"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)","overall, i have confidence in the decisions made by my manager"
qm_2010_org,character,B14. My manager recognises when I have done my job well (% strongly agree or agree),my manager recognises when i have done my job well
qm_2010_org,character,B15. I receive regular feedback on my performance (% strongly agree or agree),i receive regular feedback on my performance
qm_2010_org,character,B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),the feedback i receive helps me to improve my performance
qm_2010_org,character,B17. I think that my performance is evaluated fairly (% strongly agree or agree),i think that my performance is evaluated fairly
qm_2010_org,character,B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),poor performance is dealt with effectively in my team
qm_2010_org,character,B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),the people in my team can be relied upon to help when things get difficult in my job
qm_2010_org,character,B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),the people in my team work together to find ways to improve the service we provide
qm_2010_org,character,B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),the people in my team are encouraged to come up with new and better ways of doing things
qm_2010_org,character,B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),i am able to access the right learning and development opportunities when i need to
qm_2010_org,character,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),learning and development activities i have completed in the past 12 months have helped to improve my performance
qm_2010_org,character,B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),there are opportunities for me to develop my career in my organisation
qm_2010_org,character,B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),learning and development activities i have completed while working for my organisation are helping me to develop my career
qm_2010_org,character,B26. I am treated fairly at work (% strongly agree or agree),i am treated fairly at work
